# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.1421 0.0564 0.0520 0.0284
100 0.2145 0.0694 0.1066 0.0802
200 0.2525 0.1062 0.0825 0.0412
300 0.4569 0.2706 0.0958 0.0721
400 0.6269 0.4981 0.1237 0.0874
500 0.6510 0.5255 0.1954 0.1778
600 0.8706 0.7886 0.4181 0.4264
700 0.9143 0.8102 0.5926 0.5984
800 0.9346 0.8054 0.7094 0.7099
900 0.9416 0.8382 0.7214 0.7210
1000 0.9258 0.8496 0.7449 0.7456
1100 0.9524 0.8520 0.7354 0.7345
1200 0.9461 0.8853 0.7659 0.7670
1300 0.9499 0.8507 0.8027 0.8005
1400 0.9556 0.8761 0.7735 0.7730
1500 0.9556 0.8715 0.7855 0.7836
1600 0.9607 0.8989 0.7519 0.7502
1700 0.9581 0.8782 0.7957 0.7938
1800 0.9613 0.8989 0.8185 0.8177
1900 0.9543 0.8718 0.8268 0.8256
2000 0.9600 0.8743 0.7849 0.7854
2100 0.9581 0.8756 0.8223 0.8202
2200 0.9588 0.8672 0.8154 0.8144
2300 0.9581 0.8654 0.8109 0.8091
2400 0.9600 0.8726 0.8331 0.8292
2500 0.9613 0.8906 0.8268 0.8257
2600 0.9651 0.9153 0.8160 0.8153
2700 0.9632 0.8705 0.8274 0.8257
2800 0.9657 0.8896 0.8135 0.8106
2900 0.9600 0.8700 0.8299 0.8288
3000 0.9581 0.8817 0.8382 0.8380
3100 0.9607 0.8693 0.8204 0.8183
3200 0.9632 0.8833 0.8357 0.8335
3300 0.9638 0.8781 0.8287 0.8274
3400 0.9657 0.8891 0.8185 0.8174
3500 0.9651 0.8931 0.8242 0.8240
3600 0.9657 0.8919 0.8382 0.8359
3700 0.9619 0.8923 0.8420 0.8404
3800 0.9651 0.8769 0.8350 0.8340
3900 0.9619 0.8764 0.8217 0.8210
4000 0.9632 0.8769 0.8255 0.8241
4100 0.9626 0.8864 0.8325 0.8311
4200 0.9626 0.8786 0.8471 0.8449
4300 0.9670 0.8906 0.8420 0.8409
4400 0.9670 0.8962 0.8553 0.8540
4500 0.9657 0.8900 0.8388 0.8371
4600 0.9664 0.8922 0.8287 0.8269
4700 0.9702 0.9007 0.8039 0.8011
4800 0.9676 0.9014 0.8420 0.8406
4900 0.9645 0.8829 0.8464 0.8453
5000 0.9657 0.8959 0.8287 0.8263
5100 0.9651 0.8879 0.8426 0.8403
5200 0.9664 0.9030 0.8344 0.8323
5300 0.9657 0.8824 0.8407 0.8380
5400 0.9651 0.8756 0.8344 0.8321
5500 0.9683 0.9053 0.8452 0.8439
5600 0.9683 0.9055 0.8331 0.8334
5700 0.9683 0.8887 0.8414 0.8397
5800 0.9626 0.8666 0.8496 0.8473
5900 0.9645 0.8704 0.8452 0.8430
6000 0.9645 0.8752 0.8547 0.8524
6100 0.9645 0.8784 0.8458 0.8439
6200 0.9600 0.8686 0.8496 0.8485
6300 0.9638 0.8980 0.8471 0.8443
6400 0.9651 0.8901 0.8401 0.8369
6500 0.9588 0.8629 0.8426 0.8417
6600 0.9619 0.8637 0.8534 0.8520
6700 0.9683 0.8713 0.8496 0.8489
6800 0.9569 0.8531 0.8445 0.8430
6900 0.9594 0.8716 0.8509 0.8479
7000 0.9670 0.8848 0.8452 0.8430
7100 0.9645 0.8713 0.8426 0.8410
7200 0.9651 0.8707 0.8350 0.8326
7300 0.9632 0.8711 0.8458 0.8440
7400 0.9657 0.8917 0.8534 0.8509
7500 0.9645 0.8827 0.8350 0.8320
7600 0.9626 0.8880 0.8426 0.8410
7700 0.9638 0.8655 0.8420 0.8408
7800 0.9683 0.8877 0.8464 0.8444
7900 0.9632 0.8731 0.8496 0.8477
8000 0.9651 0.8835 0.8464 0.8456
8100 0.9657 0.8880 0.8426 0.8416
8200 0.9676 0.8936 0.8433 0.8413
8300 0.9645 0.8827 0.8433 0.8422
8400 0.9632 0.8898 0.8452 0.8429
8500 0.9651 0.8728 0.8426 0.8414
8600 0.9683 0.8962 0.8464 0.8450
8700 0.9664 0.8831 0.8407 0.8387
8800 0.9626 0.8719 0.8503 0.8488
8900 0.9676 0.8942 0.8509 0.8494
9000 0.9600 0.8759 0.8401 0.8373
9100 0.9695 0.8931 0.8484 0.8470
9200 0.9651 0.8805 0.8464 0.8459
9300 0.9683 0.8873 0.8471 0.8447
9400 0.9683 0.8964 0.8464 0.8456
9500 0.9670 0.8921 0.8395 0.8396
9600 0.9664 0.8834 0.8414 0.8402
9700 0.9645 0.8742 0.8388 0.8374
9800 0.9626 0.8671 0.8388 0.8384
9900 0.9638 0.8767 0.8236 0.8236
10000 0.9594 0.8755 0.8357 0.8341
10100 0.9670 0.8802 0.8414 0.8383
10200 0.9651 0.8874 0.8484 0.8458
10300 0.9670 0.8892 0.8490 0.8485
10400 0.9607 0.8772 0.8471 0.8439
10500 0.9632 0.8814 0.8445 0.8433
10600 0.9613 0.8730 0.8261 0.8262
10700 0.9657 0.8711 0.8426 0.8404
10800 0.9664 0.8904 0.8388 0.8382
10900 0.9638 0.8682 0.8433 0.8417
11000 0.9645 0.8686 0.8433 0.8413
11100 0.9645 0.8686 0.8541 0.8523
11200 0.9676 0.8839 0.8471 0.8442
11300 0.9607 0.8597 0.8445 0.8435
11400 0.9683 0.8884 0.8452 0.8446
11500 0.9651 0.9043 0.8363 0.8349
11600 0.9657 0.8857 0.8458 0.8436
11700 0.9683 0.8911 0.8445 0.8421
11800 0.9676 0.8927 0.8458 0.8438
11900 0.9619 0.8685 0.8464 0.8440
12000 0.9657 0.8852 0.8464 0.8441
12100 0.9670 0.8961 0.8547 0.8533
12200 0.9619 0.8792 0.8287 0.8236
12300 0.9530 0.8659 0.8401 0.8391
12400 0.9619 0.8797 0.8522 0.8511
12500 0.9645 0.8641 0.8439 0.8428
12600 0.9619 0.8397 0.8325 0.8320
12700 0.9689 0.9005 0.8477 0.8457
12800 0.9657 0.8813 0.8522 0.8519
12900 0.9683 0.8879 0.8484 0.8475
13000 0.9676 0.8902 0.8528 0.8511
13100 0.9695 0.8949 0.8547 0.8532
13200 0.9676 0.8907 0.8471 0.8448
13300 0.9695 0.8937 0.8547 0.8525
13400 0.9607 0.8783 0.8420 0.8400
13500 0.9632 0.8621 0.8496 0.8479
13600 0.9613 0.8731 0.8458 0.8453
13700 0.9702 0.8954 0.8509 0.8485
13800 0.9657 0.8951 0.8464 0.8452
13900 0.9670 0.8876 0.8509 0.8493
14000 0.9626 0.8872 0.8388 0.8385
14100 0.9683 0.8882 0.8490 0.8484
14200 0.9676 0.8861 0.8471 0.8472
14300 0.9670 0.8826 0.8414 0.8410
14400 0.9664 0.8891 0.8579 0.8561
14500 0.9657 0.8823 0.8477 0.8457
14600 0.9657 0.8686 0.8585 0.8573
14700 0.9683 0.8843 0.8503 0.8493
14800 0.9638 0.8852 0.8471 0.8457
14900 0.9657 0.8742 0.8490 0.8478
15000 0.9689 0.8869 0.8331 0.8314
15100 0.9670 0.8830 0.8426 0.8414
15200 0.9689 0.8944 0.8382 0.8357
15300 0.9683 0.8954 0.8433 0.8416
15400 0.9689 0.9006 0.8433 0.8433
15500 0.9676 0.8867 0.8560 0.8552
15600 0.9683 0.8936 0.8477 0.8466
15700 0.9676 0.8926 0.8503 0.8502
15800 0.9670 0.8822 0.8407 0.8387
15900 0.9670 0.8813 0.8464 0.8460
16000 0.9613 0.8763 0.8452 0.8446
16100 0.9613 0.8627 0.8496 0.8470
16200 0.9613 0.8791 0.8319 0.8309
16300 0.9626 0.8964 0.8458 0.8450
16400 0.9676 0.8950 0.8477 0.8469
16500 0.9689 0.8983 0.8464 0.8444
16600 0.9683 0.8950 0.8458 0.8450
16700 0.9695 0.9030 0.8439 0.8420
16800 0.9670 0.8892 0.8452 0.8435
16900 0.9657 0.8832 0.8566 0.8541
17000 0.9607 0.8709 0.8458 0.8431
17100 0.9657 0.8790 0.8388 0.8361
17200 0.9632 0.8608 0.8496 0.8478
17300 0.9670 0.8801 0.8560 0.8554
17400 0.9664 0.8705 0.8515 0.8506
17500 0.9676 0.8858 0.8503 0.8482
17600 0.9670 0.8858 0.8319 0.8313
17700 0.9657 0.8779 0.8445 0.8425
17800 0.9683 0.8893 0.8331 0.8316
17900 0.9530 0.8589 0.8147 0.8139
18000 0.9594 0.8376 0.8464 0.8441
18100 0.9505 0.8290 0.8464 0.8439
18200 0.9619 0.8615 0.8484 0.8455
18300 0.9657 0.8634 0.8471 0.8453
18400 0.9676 0.8824 0.8388 0.8371
18500 0.9689 0.8968 0.8401 0.8386
18600 0.9714 0.8999 0.8471 0.8453
18700 0.9683 0.8910 0.8490 0.8474
18800 0.9670 0.8809 0.8344 0.8327
18900 0.9683 0.8780 0.8452 0.8434
19000 0.9695 0.8918 0.8445 0.8421
19100 0.9664 0.8876 0.8452 0.8432
19200 0.9689 0.8991 0.8274 0.8239
19300 0.9638 0.8696 0.8357 0.8341
19400 0.9549 0.8106 0.8433 0.8423
19500 0.9492 0.8523 0.8388 0.8382
19600 0.9651 0.8811 0.8490 0.8472
19700 0.9670 0.8776 0.8401 0.8385
19800 0.9676 0.8845 0.8344 0.8321
19900 0.9657 0.8828 0.8445 0.8399
20000 0.9651 0.8819 0.8376 0.8359
20100 0.9676 0.8852 0.8338 0.8312
20200 0.9657 0.8867 0.8280 0.8259
20300 0.9645 0.8746 0.8426 0.8406
20400 0.9689 0.8908 0.8503 0.8474
20500 0.9638 0.8794 0.8388 0.8372
20600 0.9569 0.8783 0.8401 0.8377
20700 0.9626 0.8591 0.8395 0.8382
20800 0.9638 0.8630 0.8319 0.8312
20900 0.9638 0.8550 0.8547 0.8529
21000 0.9645 0.8671 0.8503 0.8488
21100 0.9651 0.8726 0.8484 0.8461
21200 0.9626 0.8718 0.8471 0.8462
21300 0.9632 0.8601 0.8338 0.8318
21400 0.9651 0.8779 0.8401 0.8372
21500 0.9695 0.8860 0.8528 0.8511
21600 0.9702 0.8909 0.8414 0.8399
21700 0.9657 0.8901 0.8445 0.8430
21800 0.9683 0.8861 0.8547 0.8525
21900 0.9638 0.8814 0.8547 0.8537
22000 0.9664 0.8792 0.8407 0.8392
22100 0.9632 0.8641 0.8338 0.8323
22200 0.9613 0.8655 0.8471 0.8467
22300 0.9683 0.9008 0.8312 0.8292
22400 0.9664 0.8826 0.8414 0.8401
22500 0.9676 0.8930 0.8445 0.8424
22600 0.9600 0.8315 0.8496 0.8478
22700 0.9613 0.8364 0.8503 0.8487
22800 0.9645 0.8677 0.8585 0.8553
22900 0.9607 0.8568 0.8433 0.8414
23000 0.9638 0.8906 0.8484 0.8464
23100 0.9670 0.8889 0.8503 0.8497
23200 0.9651 0.8838 0.8338 0.8305
23300 0.9689 0.8855 0.8287 0.8266
23400 0.9670 0.8823 0.8458 0.8450
23500 0.9689 0.8900 0.8464 0.8442
23600 0.9689 0.9002 0.8388 0.8377
23700 0.9645 0.8843 0.8350 0.8335
23800 0.9556 0.8117 0.8433 0.8423
23900 0.9569 0.8525 0.8464 0.8448
24000 0.9689 0.8874 0.8426 0.8412
24100 0.9664 0.8841 0.8407 0.8389
