# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.3714 0.1563 0.0425 0.0221
100 0.3702 0.1575 0.0692 0.0452
200 0.2317 0.0842 0.0483 0.0193
300 0.5029 0.2728 0.0965 0.0763
400 0.8178 0.6869 0.2667 0.2654
500 0.8489 0.6857 0.5448 0.5436
600 0.9333 0.8280 0.6743 0.6775
700 0.9549 0.8222 0.6889 0.6902
800 0.9613 0.8532 0.7397 0.7366
900 0.9568 0.8084 0.7295 0.7279
1000 0.9638 0.8786 0.7041 0.7038
1100 0.9613 0.8599 0.7200 0.7187
1200 0.9651 0.8609 0.7575 0.7557
1300 0.9638 0.8715 0.7829 0.7842
1400 0.9638 0.8343 0.7657 0.7652
1500 0.9600 0.8406 0.7886 0.7869
1600 0.9644 0.8258 0.8121 0.8112
1700 0.9683 0.8657 0.8063 0.8051
1800 0.9695 0.8586 0.7981 0.7959
1900 0.9702 0.8854 0.8222 0.8199
2000 0.9670 0.8773 0.8108 0.8103
2100 0.9657 0.8545 0.8419 0.8390
2200 0.9727 0.8831 0.8241 0.8249
2300 0.9689 0.8774 0.8298 0.8277
2400 0.9676 0.8537 0.8133 0.8116
2500 0.9702 0.9040 0.8337 0.8315
2600 0.9695 0.8801 0.8616 0.8590
2700 0.9714 0.8672 0.8432 0.8425
2800 0.9695 0.8788 0.8495 0.8480
2900 0.9695 0.8768 0.8248 0.8230
3000 0.9683 0.8665 0.8641 0.8630
3100 0.9752 0.8784 0.8451 0.8434
3200 0.9733 0.8714 0.8508 0.8488
3300 0.9721 0.8848 0.8546 0.8527
3400 0.9771 0.9038 0.8610 0.8608
3500 0.9733 0.8891 0.8476 0.8434
3600 0.9695 0.8644 0.8425 0.8400
3700 0.9702 0.8608 0.8356 0.8324
3800 0.9721 0.8906 0.8565 0.8560
3900 0.9695 0.8545 0.8578 0.8562
4000 0.9778 0.8962 0.8629 0.8618
4100 0.9746 0.8944 0.8622 0.8604
4200 0.9752 0.8884 0.8470 0.8448
4300 0.9721 0.8725 0.8565 0.8542
4400 0.9708 0.8501 0.8603 0.8583
4500 0.9702 0.8606 0.8483 0.8480
4600 0.9695 0.8702 0.8648 0.8637
4700 0.9702 0.8647 0.8616 0.8611
4800 0.9683 0.8815 0.8667 0.8655
4900 0.9740 0.8767 0.8571 0.8561
5000 0.9733 0.8803 0.8508 0.8502
5100 0.9689 0.8336 0.8590 0.8572
5200 0.9733 0.8739 0.8616 0.8614
5300 0.9790 0.9001 0.8508 0.8491
5400 0.9727 0.8640 0.8622 0.8606
5500 0.9746 0.8873 0.8540 0.8532
5600 0.9727 0.8671 0.8603 0.8590
5700 0.9721 0.8865 0.8616 0.8597
5800 0.9721 0.8819 0.8457 0.8450
5900 0.9702 0.8702 0.8673 0.8655
6000 0.9746 0.8870 0.8635 0.8609
6100 0.9695 0.8618 0.8438 0.8426
6200 0.9733 0.8754 0.8667 0.8653
6300 0.9746 0.8712 0.8667 0.8650
6400 0.9708 0.8758 0.8679 0.8663
6500 0.9721 0.8623 0.8737 0.8711
