# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.2305 0.1514 0.0540 0.0238
100 0.2730 0.1186 0.0851 0.0597
200 0.1886 0.0549 0.0800 0.0531
300 0.6133 0.4180 0.1003 0.0684
400 0.6527 0.5573 0.3263 0.3093
500 0.8743 0.7881 0.5784 0.5817
600 0.9321 0.8327 0.6368 0.6409
700 0.9575 0.8738 0.6997 0.6988
800 0.9498 0.8494 0.7454 0.7374
900 0.9441 0.8490 0.7448 0.7419
1000 0.9600 0.8400 0.7822 0.7797
1100 0.9581 0.8456 0.7549 0.7539
1200 0.9651 0.8827 0.7714 0.7696
1300 0.9575 0.8624 0.8127 0.8121
1400 0.9524 0.8608 0.7873 0.7855
1500 0.9670 0.8667 0.8076 0.8058
1600 0.9663 0.8804 0.8076 0.8045
1700 0.9683 0.8836 0.8140 0.8134
1800 0.9600 0.8352 0.8254 0.8246
1900 0.9587 0.8407 0.8190 0.8183
2000 0.9587 0.8325 0.7683 0.7677
2100 0.9663 0.8749 0.7860 0.7828
2200 0.9663 0.8786 0.8184 0.8188
2300 0.9651 0.8611 0.8051 0.8026
2400 0.9644 0.8680 0.8171 0.8149
2500 0.9695 0.8857 0.8311 0.8293
2600 0.9644 0.8871 0.8483 0.8463
2700 0.9714 0.8827 0.8356 0.8349
2800 0.9670 0.8746 0.8260 0.8240
2900 0.9676 0.8724 0.8610 0.8595
3000 0.9670 0.8638 0.8502 0.8504
3100 0.9638 0.8710 0.8476 0.8452
3200 0.9702 0.8739 0.8495 0.8485
3300 0.9670 0.8715 0.8470 0.8458
3400 0.9657 0.8537 0.8476 0.8465
3500 0.9663 0.8729 0.8540 0.8539
3600 0.9689 0.8897 0.8521 0.8513
3700 0.9721 0.8895 0.8641 0.8652
3800 0.9727 0.8931 0.8400 0.8399
3900 0.9625 0.8638 0.8489 0.8475
4000 0.9663 0.8607 0.8565 0.8547
4100 0.9702 0.8765 0.8692 0.8695
4200 0.9702 0.8878 0.8565 0.8553
4300 0.9632 0.8550 0.8578 0.8567
4400 0.9721 0.8863 0.8552 0.8545
4500 0.9663 0.8575 0.8673 0.8671
4600 0.9740 0.9080 0.8603 0.8588
4700 0.9708 0.8870 0.8597 0.8587
4800 0.9714 0.8892 0.8559 0.8544
4900 0.9727 0.8860 0.8571 0.8553
5000 0.9676 0.8810 0.8597 0.8588
5100 0.9695 0.8614 0.8622 0.8615
5200 0.9721 0.8906 0.8660 0.8642
5300 0.9695 0.8784 0.8660 0.8652
5400 0.9683 0.8652 0.8552 0.8546
5500 0.9752 0.8977 0.8616 0.8601
5600 0.9740 0.8934 0.8565 0.8561
5700 0.9727 0.8856 0.8584 0.8581
5800 0.9759 0.9059 0.8533 0.8516
5900 0.9765 0.9103 0.8419 0.8401
6000 0.9683 0.8842 0.8610 0.8594
6100 0.9714 0.8880 0.8597 0.8583
6200 0.9740 0.8917 0.8679 0.8658
6300 0.9683 0.8775 0.8635 0.8621
6400 0.9714 0.8726 0.8571 0.8545
6500 0.9733 0.8942 0.8387 0.8368
6600 0.9663 0.8739 0.8527 0.8517
6700 0.9651 0.8618 0.8616 0.8599
6800 0.9708 0.8841 0.8610 0.8600
6900 0.9708 0.8975 0.8622 0.8609
7000 0.9651 0.8774 0.8641 0.8625
7100 0.9727 0.9002 0.8686 0.8680
7200 0.9683 0.8767 0.8673 0.8664
7300 0.9702 0.8773 0.8603 0.8600
7400 0.9676 0.8551 0.8597 0.8583
7500 0.9771 0.9137 0.8616 0.8609
7600 0.9733 0.9011 0.8705 0.8696
7700 0.9689 0.8722 0.8679 0.8663
7800 0.9689 0.8676 0.8565 0.8552
7900 0.9721 0.8970 0.8546 0.8536
8000 0.9708 0.8836 0.8590 0.8574
8100 0.9625 0.8905 0.8679 0.8670
8200 0.9727 0.8930 0.8565 0.8541
8300 0.9689 0.8799 0.8641 0.8626
8400 0.9676 0.8860 0.8673 0.8660
8500 0.9695 0.8908 0.8521 0.8505
8600 0.9695 0.8926 0.8565 0.8558
8700 0.9695 0.8820 0.8495 0.8483
8800 0.9702 0.8872 0.8584 0.8574
8900 0.9663 0.8697 0.8660 0.8649
9000 0.9663 0.8778 0.8698 0.8686
9100 0.9657 0.8564 0.8660 0.8659
9200 0.9695 0.8782 0.8559 0.8544
9300 0.9746 0.8962 0.8597 0.8588
9400 0.9714 0.8934 0.8552 0.8534
9500 0.9676 0.8920 0.8610 0.8603
9600 0.9727 0.8935 0.8635 0.8634
9700 0.9670 0.8831 0.8590 0.8575
9800 0.9689 0.8975 0.8527 0.8511
9900 0.9721 0.8886 0.8698 0.8700
10000 0.9695 0.8837 0.8660 0.8646
10100 0.9689 0.8843 0.8565 0.8555
10200 0.9740 0.9073 0.8641 0.8629
10300 0.9708 0.8862 0.8565 0.8558
10400 0.9683 0.8844 0.8546 0.8544
