# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.3124 0.1688 0.0222 0.0118
100 0.3079 0.0967 0.0819 0.0686
200 0.1613 0.0356 0.0749 0.0499
300 0.3321 0.1211 0.0730 0.0548
400 0.6089 0.3947 0.1168 0.0924
500 0.7905 0.5878 0.4857 0.4815
600 0.8660 0.7038 0.4946 0.4954
700 0.9365 0.7894 0.6902 0.6932
800 0.9530 0.8331 0.7251 0.7263
900 0.9498 0.8568 0.7397 0.7381
1000 0.9632 0.8781 0.7410 0.7386
1100 0.9505 0.8665 0.7733 0.7714
1200 0.9632 0.8498 0.7695 0.7670
1300 0.9676 0.8599 0.8121 0.8142
1400 0.9625 0.8285 0.7879 0.7887
1500 0.9619 0.8473 0.7848 0.7878
1600 0.9663 0.8450 0.7848 0.7887
1700 0.9683 0.8642 0.7898 0.7872
1800 0.9727 0.8631 0.8375 0.8371
1900 0.9702 0.8680 0.8248 0.8245
2000 0.9746 0.8883 0.8248 0.8247
2100 0.9651 0.8600 0.8292 0.8288
2200 0.9632 0.8438 0.8197 0.8185
2300 0.9619 0.8410 0.8305 0.8311
2400 0.9619 0.8409 0.8476 0.8459
2500 0.9651 0.8576 0.8546 0.8547
2600 0.9683 0.8667 0.8254 0.8236
2700 0.9746 0.8848 0.8387 0.8378
2800 0.9727 0.8653 0.8076 0.8092
2900 0.9746 0.8771 0.8298 0.8283
3000 0.9727 0.8771 0.8489 0.8506
3100 0.9740 0.8754 0.8578 0.8574
3200 0.9708 0.8683 0.8559 0.8552
3300 0.9683 0.8629 0.8241 0.8247
3400 0.9663 0.8358 0.8641 0.8639
3500 0.9727 0.8667 0.8540 0.8539
3600 0.9708 0.8650 0.8559 0.8561
3700 0.9746 0.8738 0.8502 0.8497
3800 0.9689 0.8570 0.8502 0.8480
3900 0.9670 0.8588 0.8578 0.8567
4000 0.9746 0.8803 0.8673 0.8662
4100 0.9740 0.8818 0.8356 0.8367
4200 0.9714 0.8704 0.8616 0.8600
4300 0.9752 0.8798 0.8660 0.8665
4400 0.9752 0.8811 0.8679 0.8684
4500 0.9702 0.8648 0.8768 0.8758
4600 0.9657 0.8444 0.8711 0.8696
4700 0.9759 0.8754 0.8641 0.8640
4800 0.9733 0.8673 0.8679 0.8679
4900 0.9721 0.8715 0.8603 0.8606
5000 0.9714 0.8802 0.8635 0.8626
5100 0.9733 0.8764 0.8711 0.8708
5200 0.9765 0.8786 0.8756 0.8745
5300 0.9714 0.8581 0.8667 0.8654
5400 0.9714 0.8750 0.8813 0.8807
5500 0.9771 0.8947 0.8629 0.8625
5600 0.9740 0.8750 0.8667 0.8659
5700 0.9752 0.8852 0.8641 0.8641
5800 0.9790 0.8850 0.8711 0.8712
5900 0.9759 0.8819 0.8641 0.8634
6000 0.9778 0.8860 0.8794 0.8781
6100 0.9759 0.8827 0.8654 0.8643
6200 0.9759 0.8842 0.8730 0.8710
6300 0.9733 0.8698 0.8698 0.8702
6400 0.9797 0.9113 0.8698 0.8699
6500 0.9740 0.8740 0.8692 0.8680
6600 0.9771 0.8851 0.8724 0.8719
6700 0.9759 0.8844 0.8673 0.8667
6800 0.9790 0.9061 0.8749 0.8751
6900 0.9721 0.8694 0.8654 0.8645
7000 0.9759 0.8947 0.8762 0.8746
7100 0.9790 0.8959 0.8800 0.8796
7200 0.9740 0.8734 0.8730 0.8716
7300 0.9689 0.8445 0.8622 0.8621
7400 0.9695 0.8382 0.8705 0.8707
7500 0.9746 0.8744 0.8711 0.8714
7600 0.9746 0.8810 0.8781 0.8781
7700 0.9683 0.8533 0.8756 0.8750
7800 0.9778 0.8955 0.8787 0.8781
7900 0.9771 0.8788 0.8590 0.8592
8000 0.9727 0.8719 0.8749 0.8740
8100 0.9759 0.8787 0.8794 0.8784
8200 0.9727 0.8676 0.8667 0.8656
8300 0.9752 0.8838 0.8730 0.8724
8400 0.9771 0.8818 0.8635 0.8630
8500 0.9733 0.8751 0.8724 0.8713
8600 0.9714 0.8764 0.8527 0.8522
8700 0.9752 0.8661 0.8610 0.8583
8800 0.9740 0.8842 0.8730 0.8726
8900 0.9721 0.8694 0.8768 0.8763
9000 0.9721 0.8644 0.8692 0.8694
9100 0.9702 0.8585 0.8737 0.8719
9200 0.9765 0.8872 0.8768 0.8743
9300 0.9778 0.8813 0.8673 0.8665
9400 0.9790 0.9028 0.8724 0.8715
9500 0.9727 0.8747 0.8648 0.8640
9600 0.9778 0.8849 0.8711 0.8697
9700 0.9765 0.8914 0.8641 0.8630
9800 0.9752 0.8761 0.8679 0.8665
9900 0.9708 0.8559 0.8705 0.8706
10000 0.9746 0.8889 0.8692 0.8690
10100 0.9759 0.8700 0.8692 0.8692
10200 0.9714 0.8497 0.8692 0.8680
10300 0.9740 0.8747 0.8552 0.8535
10400 0.9727 0.8601 0.8717 0.8716
10500 0.9746 0.8818 0.8749 0.8745
10600 0.9644 0.8257 0.8571 0.8557
10700 0.9746 0.8822 0.8679 0.8664
10800 0.9778 0.8872 0.8743 0.8750
10900 0.9752 0.8789 0.8584 0.8578
11000 0.9702 0.8499 0.8698 0.8698
11100 0.9759 0.8809 0.8756 0.8737
11200 0.9740 0.8746 0.8622 0.8619
11300 0.9765 0.8863 0.8686 0.8675
11400 0.9708 0.8576 0.8502 0.8491
11500 0.9752 0.8879 0.8749 0.8738
11600 0.9733 0.8814 0.8635 0.8627
11700 0.9797 0.8961 0.8711 0.8709
11800 0.9778 0.8825 0.8673 0.8670
