# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.0258 0.0083 0.0510 0.0247
100 0.1738 0.0974 0.1532 0.0526
200 0.1979 0.1319 0.1692 0.0475
300 0.2903 0.2203 0.1382 0.0822
400 0.2065 0.1338 0.1527 0.1091
500 0.3180 0.2464 0.1489 0.1095
600 0.6035 0.5663 0.3402 0.2355
700 0.6302 0.5970 0.3586 0.2913
800 0.6973 0.6709 0.4118 0.3448
900 0.6932 0.6599 0.3997 0.3110
1000 0.7143 0.6911 0.4040 0.3495
1100 0.7653 0.7322 0.5036 0.4292
1200 0.7861 0.7624 0.5313 0.4551
1300 0.7507 0.7274 0.5274 0.4728
1400 0.7938 0.7677 0.5465 0.4870
1500 0.8000 0.7752 0.5690 0.5185
1600 0.7890 0.7760 0.5622 0.5049
1700 0.8118 0.7899 0.5885 0.5318
1800 0.7973 0.7719 0.6028 0.5388
1900 0.8024 0.7824 0.6158 0.5528
2000 0.7931 0.7634 0.5904 0.5304
2100 0.8151 0.7848 0.6290 0.5776
2200 0.8127 0.7997 0.6538 0.6117
2300 0.8184 0.8000 0.6659 0.6190
2400 0.8251 0.8065 0.6719 0.6319
2500 0.8205 0.8067 0.6733 0.6346
2600 0.8312 0.8154 0.6482 0.6066
2700 0.8299 0.8121 0.6922 0.6491
2800 0.8323 0.8170 0.6966 0.6527
2900 0.8265 0.8073 0.6985 0.6606
3000 0.8261 0.8110 0.6814 0.6439
3100 0.8354 0.8220 0.7214 0.6699
3200 0.8374 0.8217 0.7248 0.6782
3300 0.8296 0.8108 0.7209 0.6761
3400 0.8378 0.8199 0.7215 0.6771
3500 0.8387 0.8272 0.7455 0.7108
3600 0.8376 0.8210 0.7300 0.6967
3700 0.8422 0.8268 0.7357 0.6858
3800 0.8421 0.8297 0.7366 0.7038
3900 0.8372 0.8199 0.7580 0.7232
4000 0.8435 0.8370 0.7534 0.7268
4100 0.8386 0.8215 0.7470 0.7115
4200 0.8452 0.8308 0.7689 0.7296
4300 0.8388 0.8212 0.7636 0.7375
4400 0.8544 0.8432 0.7666 0.7295
4500 0.8489 0.8380 0.7598 0.7332
4600 0.8518 0.8358 0.7718 0.7323
4700 0.8504 0.8368 0.7826 0.7455
4800 0.8473 0.8298 0.7764 0.7442
4900 0.8527 0.8424 0.7779 0.7509
5000 0.8462 0.8348 0.7625 0.7369
5100 0.8545 0.8445 0.7992 0.7733
5200 0.8582 0.8507 0.7860 0.7541
5300 0.8504 0.8392 0.7870 0.7597
5400 0.8563 0.8478 0.7997 0.7655
5500 0.8534 0.8417 0.8024 0.7672
5600 0.8532 0.8426 0.7956 0.7712
5700 0.8598 0.8514 0.8063 0.7737
5800 0.8478 0.8383 0.8042 0.7791
5900 0.8587 0.8479 0.8062 0.7726
6000 0.8536 0.8407 0.8066 0.7735
6100 0.8611 0.8505 0.8083 0.7806
6200 0.8575 0.8463 0.8087 0.7867
6300 0.8627 0.8557 0.8087 0.7864
6400 0.8610 0.8528 0.8113 0.7754
6500 0.8597 0.8513 0.8141 0.7810
6600 0.8600 0.8511 0.8138 0.7810
6700 0.8592 0.8495 0.8047 0.7670
6800 0.8631 0.8544 0.8125 0.7934
6900 0.8604 0.8507 0.8157 0.7863
7000 0.8583 0.8487 0.8182 0.7947
7100 0.8512 0.8405 0.8203 0.7993
7200 0.8580 0.8514 0.8156 0.7912
7300 0.8651 0.8551 0.8216 0.8015
7400 0.8604 0.8500 0.8251 0.7960
7500 0.8624 0.8514 0.8212 0.8002
7600 0.8641 0.8571 0.8308 0.8031
7700 0.8594 0.8525 0.8223 0.7959
7800 0.8595 0.8493 0.8330 0.8138
7900 0.8625 0.8541 0.8218 0.7994
8000 0.8647 0.8567 0.8352 0.8173
8100 0.8637 0.8540 0.8330 0.8044
8200 0.8655 0.8568 0.8310 0.8144
8300 0.8645 0.8556 0.8307 0.8011
8400 0.8642 0.8572 0.8313 0.8112
8500 0.8630 0.8569 0.8342 0.8152
8600 0.8693 0.8621 0.8279 0.7977
8700 0.8540 0.8497 0.8256 0.7996
8800 0.8684 0.8633 0.8353 0.8155
8900 0.8652 0.8576 0.8286 0.8019
9000 0.8671 0.8604 0.8387 0.8207
9100 0.8642 0.8579 0.8289 0.7999
9200 0.8688 0.8617 0.8292 0.8131
9300 0.8700 0.8622 0.8301 0.8037
9400 0.8674 0.8607 0.8280 0.8111
9500 0.8680 0.8608 0.8301 0.8093
9600 0.8611 0.8560 0.8379 0.8163
9700 0.8696 0.8626 0.8368 0.8132
9800 0.8689 0.8640 0.8361 0.8096
9900 0.8662 0.8579 0.8434 0.8171
10000 0.8672 0.8617 0.8372 0.8106
10100 0.8747 0.8685 0.8387 0.8198
10200 0.8696 0.8658 0.8426 0.8179
10300 0.8642 0.8591 0.8283 0.8001
10400 0.8685 0.8621 0.8463 0.8205
10500 0.8726 0.8654 0.8524 0.8345
10600 0.8735 0.8676 0.8485 0.8304
10700 0.8676 0.8594 0.8405 0.8231
10800 0.8685 0.8639 0.8410 0.8156
10900 0.8690 0.8626 0.8413 0.8126
11000 0.8723 0.8674 0.8476 0.8208
11100 0.8731 0.8676 0.8453 0.8277
11200 0.8645 0.8588 0.8419 0.8170
11300 0.8697 0.8629 0.8505 0.8330
11400 0.8738 0.8652 0.8462 0.8215
11500 0.8708 0.8671 0.8499 0.8324
11600 0.8727 0.8684 0.8434 0.8192
11700 0.8709 0.8640 0.8473 0.8240
11800 0.8683 0.8615 0.8405 0.8133
11900 0.8758 0.8717 0.8393 0.8159
12000 0.8765 0.8721 0.8483 0.8230
12100 0.8733 0.8690 0.8405 0.8131
12200 0.8718 0.8666 0.8419 0.8247
12300 0.8717 0.8672 0.8478 0.8268
12400 0.8695 0.8642 0.8429 0.8273
12500 0.8754 0.8713 0.8504 0.8292
12600 0.8696 0.8620 0.8434 0.8165
12700 0.8692 0.8606 0.8445 0.8262
12800 0.8723 0.8662 0.8460 0.8202
12900 0.8725 0.8690 0.8492 0.8292
13000 0.8719 0.8671 0.8513 0.8309
13100 0.8704 0.8657 0.8434 0.8197
13200 0.8761 0.8733 0.8498 0.8242
13300 0.8759 0.8689 0.8457 0.8209
13400 0.8718 0.8682 0.8465 0.8251
13500 0.8778 0.8749 0.8499 0.8342
13600 0.8767 0.8749 0.8470 0.8316
13700 0.8731 0.8679 0.8402 0.8214
13800 0.8715 0.8660 0.8369 0.8144
13900 0.8720 0.8667 0.8507 0.8261
14000 0.8703 0.8638 0.8521 0.8369
14100 0.8670 0.8634 0.8481 0.8234
14200 0.8747 0.8698 0.8432 0.8178
14300 0.8707 0.8646 0.8471 0.8218
14400 0.8733 0.8702 0.8544 0.8384
14500 0.8727 0.8680 0.8460 0.8201
14600 0.8717 0.8657 0.8492 0.8303
14700 0.8695 0.8638 0.8474 0.8267
14800 0.8755 0.8710 0.8508 0.8331
14900 0.8745 0.8699 0.8530 0.8370
15000 0.8729 0.8713 0.8555 0.8400
15100 0.8745 0.8697 0.8444 0.8279
15200 0.8762 0.8744 0.8520 0.8272
15300 0.8775 0.8760 0.8500 0.8357
15400 0.8765 0.8748 0.8569 0.8415
15500 0.8761 0.8728 0.8564 0.8327
15600 0.8778 0.8749 0.8532 0.8306
15700 0.8691 0.8672 0.8613 0.8461
15800 0.8748 0.8699 0.8583 0.8432
15900 0.8750 0.8687 0.8530 0.8309
16000 0.8750 0.8693 0.8510 0.8257
16100 0.8649 0.8573 0.8585 0.8358
16200 0.8796 0.8743 0.8566 0.8318
16300 0.8776 0.8736 0.8499 0.8246
16400 0.8718 0.8659 0.8570 0.8420
16500 0.8795 0.8747 0.8514 0.8337
16600 0.8713 0.8628 0.8524 0.8343
16700 0.8775 0.8742 0.8534 0.8393
16800 0.8701 0.8658 0.8523 0.8367
16900 0.8703 0.8651 0.8532 0.8372
17000 0.8739 0.8702 0.8565 0.8316
17100 0.8753 0.8729 0.8579 0.8425
17200 0.8787 0.8740 0.8579 0.8440
17300 0.8750 0.8708 0.8548 0.8380
17400 0.8738 0.8682 0.8606 0.8465
17500 0.8741 0.8699 0.8583 0.8348
17600 0.8770 0.8730 0.8600 0.8441
17700 0.8795 0.8753 0.8520 0.8282
17800 0.8751 0.8700 0.8460 0.8240
17900 0.8810 0.8787 0.8539 0.8305
18000 0.8773 0.8751 0.8603 0.8367
18100 0.8704 0.8689 0.8553 0.8315
18200 0.8746 0.8713 0.8568 0.8377
18300 0.8737 0.8690 0.8492 0.8238
18400 0.8753 0.8708 0.8501 0.8336
18500 0.8775 0.8742 0.8552 0.8322
18600 0.8751 0.8713 0.8477 0.8228
18700 0.8778 0.8731 0.8536 0.8296
18800 0.8774 0.8749 0.8550 0.8393
18900 0.8746 0.8699 0.8606 0.8452
19000 0.8749 0.8672 0.8513 0.8270
19100 0.8726 0.8699 0.8562 0.8409
19200 0.8797 0.8768 0.8604 0.8450
19300 0.8792 0.8757 0.8614 0.8376
19400 0.8743 0.8675 0.8582 0.8355
19500 0.8801 0.8784 0.8579 0.8439
19600 0.8786 0.8767 0.8520 0.8301
19700 0.8790 0.8776 0.8600 0.8352
19800 0.8764 0.8698 0.8577 0.8426
19900 0.8739 0.8658 0.8621 0.8472
20000 0.8762 0.8733 0.8511 0.8308
20100 0.8779 0.8728 0.8498 0.8286
20200 0.8751 0.8712 0.8611 0.8454
20300 0.8767 0.8728 0.8578 0.8446
20400 0.8793 0.8759 0.8557 0.8311
20500 0.8763 0.8756 0.8566 0.8358
20600 0.8769 0.8742 0.8616 0.8475
20700 0.8771 0.8735 0.8562 0.8423
20800 0.8740 0.8723 0.8622 0.8425
20900 0.8769 0.8741 0.8582 0.8437
21000 0.8763 0.8709 0.8680 0.8529
21100 0.8760 0.8723 0.8602 0.8372
21200 0.8803 0.8753 0.8590 0.8444
21300 0.8770 0.8731 0.8612 0.8432
21400 0.8745 0.8725 0.8606 0.8445
21500 0.8744 0.8707 0.8585 0.8422
21600 0.8774 0.8746 0.8574 0.8336
21700 0.8807 0.8771 0.8550 0.8367
21800 0.8765 0.8748 0.8654 0.8500
21900 0.8805 0.8779 0.8546 0.8308
22000 0.8744 0.8686 0.8629 0.8485
22100 0.8753 0.8708 0.8490 0.8271
22200 0.8727 0.8693 0.8634 0.8492
22300 0.8761 0.8709 0.8563 0.8419
22400 0.8712 0.8665 0.8591 0.8430
22500 0.8725 0.8635 0.8645 0.8503
22600 0.8787 0.8739 0.8628 0.8519
22700 0.8784 0.8744 0.8628 0.8488
22800 0.8776 0.8744 0.8546 0.8347
22900 0.8757 0.8727 0.8604 0.8449
23000 0.8776 0.8711 0.8556 0.8294
23100 0.8760 0.8714 0.8651 0.8414
23200 0.8788 0.8752 0.8679 0.8499
23300 0.8774 0.8749 0.8722 0.8593
23400 0.8786 0.8744 0.8657 0.8529
23500 0.8785 0.8754 0.8652 0.8437
23600 0.8733 0.8701 0.8609 0.8391
23700 0.8800 0.8757 0.8632 0.8392
23800 0.8773 0.8734 0.8602 0.8439
23900 0.8780 0.8756 0.8563 0.8432
24000 0.8789 0.8752 0.8610 0.8449
24100 0.8806 0.8769 0.8651 0.8501
24200 0.8801 0.8762 0.8605 0.8450
24300 0.8773 0.8750 0.8625 0.8465
24400 0.8775 0.8749 0.8554 0.8331
24500 0.8811 0.8787 0.8595 0.8455
24600 0.8746 0.8720 0.8636 0.8414
24700 0.8762 0.8733 0.8634 0.8481
24800 0.8799 0.8756 0.8571 0.8426
24900 0.8729 0.8695 0.8556 0.8300
25000 0.8802 0.8793 0.8498 0.8337
25100 0.8771 0.8768 0.8619 0.8465
25200 0.8791 0.8772 0.8659 0.8516
25300 0.8786 0.8748 0.8681 0.8527
25400 0.8755 0.8720 0.8606 0.8456
25500 0.8810 0.8783 0.8517 0.8340
25600 0.8795 0.8733 0.8626 0.8382
25700 0.8789 0.8773 0.8670 0.8422
25800 0.8758 0.8719 0.8618 0.8384
25900 0.8807 0.8789 0.8632 0.8446
26000 0.8813 0.8783 0.8676 0.8491
26100 0.8676 0.8637 0.8712 0.8579
26200 0.8729 0.8709 0.8600 0.8366
26300 0.8767 0.8694 0.8669 0.8428
26400 0.8741 0.8706 0.8614 0.8417
26500 0.8731 0.8677 0.8608 0.8384
26600 0.8744 0.8706 0.8665 0.8452
26700 0.8742 0.8753 0.8635 0.8473
26800 0.8751 0.8730 0.8624 0.8433
26900 0.8806 0.8790 0.8551 0.8416
27000 0.8797 0.8787 0.8660 0.8512
27100 0.8810 0.8804 0.8596 0.8407
27200 0.8784 0.8749 0.8539 0.8345
27300 0.8850 0.8846 0.8673 0.8529
27400 0.8796 0.8779 0.8636 0.8393
27500 0.8755 0.8722 0.8653 0.8481
27600 0.8777 0.8746 0.8659 0.8444
27700 0.8758 0.8713 0.8641 0.8410
27800 0.8781 0.8758 0.8661 0.8457
27900 0.8790 0.8767 0.8653 0.8498
28000 0.8782 0.8773 0.8582 0.8333
28100 0.8811 0.8800 0.8636 0.8494
28200 0.8770 0.8677 0.8661 0.8543
28300 0.8831 0.8798 0.8725 0.8590
28400 0.8850 0.8850 0.8619 0.8386
28500 0.8799 0.8756 0.8727 0.8589
28600 0.8805 0.8791 0.8647 0.8428
28700 0.8825 0.8808 0.8663 0.8442
28800 0.8820 0.8813 0.8648 0.8409
28900 0.8790 0.8780 0.8606 0.8363
29000 0.8787 0.8769 0.8631 0.8410
29100 0.8837 0.8809 0.8655 0.8438
29200 0.8825 0.8795 0.8547 0.8404
29300 0.8815 0.8788 0.8614 0.8455
29400 0.8767 0.8747 0.8680 0.8449
29500 0.8797 0.8788 0.8645 0.8407
29600 0.8799 0.8772 0.8586 0.8458
29700 0.8761 0.8745 0.8670 0.8515
29800 0.8809 0.8776 0.8586 0.8480
29900 0.8746 0.8712 0.8676 0.8540
30000 0.8792 0.8754 0.8607 0.8398
30100 0.8810 0.8784 0.8601 0.8393
30200 0.8720 0.8742 0.8541 0.8333
30300 0.8777 0.8764 0.8648 0.8414
30400 0.8809 0.8791 0.8662 0.8528
30500 0.8806 0.8796 0.8627 0.8483
30600 0.8795 0.8732 0.8585 0.8394
30700 0.8845 0.8823 0.8713 0.8580
30800 0.8805 0.8785 0.8646 0.8500
30900 0.8817 0.8802 0.8730 0.8517
31000 0.8803 0.8793 0.8711 0.8480
31100 0.8747 0.8722 0.8748 0.8619
31200 0.8817 0.8800 0.8718 0.8581
31300 0.8799 0.8787 0.8702 0.8563
31400 0.8780 0.8750 0.8643 0.8513
31500 0.8818 0.8810 0.8659 0.8500
31600 0.8781 0.8742 0.8670 0.8502
31700 0.8755 0.8712 0.8719 0.8590
31800 0.8812 0.8795 0.8655 0.8520
31900 0.8811 0.8754 0.8663 0.8522
32000 0.8788 0.8766 0.8622 0.8386
32100 0.8772 0.8729 0.8584 0.8356
32200 0.8790 0.8771 0.8651 0.8438
32300 0.8816 0.8790 0.8677 0.8441
32400 0.8802 0.8789 0.8653 0.8516
32500 0.8762 0.8737 0.8687 0.8474
32600 0.8788 0.8763 0.8678 0.8516
32700 0.8809 0.8804 0.8668 0.8541
32800 0.8772 0.8742 0.8577 0.8354
32900 0.8810 0.8774 0.8657 0.8424
33000 0.8776 0.8786 0.8692 0.8541
33100 0.8764 0.8727 0.8625 0.8383
33200 0.8822 0.8801 0.8698 0.8571
33300 0.8787 0.8784 0.8645 0.8407
33400 0.8844 0.8833 0.8674 0.8437
33500 0.8831 0.8824 0.8669 0.8531
33600 0.8762 0.8722 0.8717 0.8593
33700 0.8788 0.8770 0.8663 0.8466
33800 0.8790 0.8777 0.8526 0.8423
33900 0.8809 0.8790 0.8598 0.8406
34000 0.8796 0.8764 0.8743 0.8621
34100 0.8850 0.8831 0.8676 0.8542
34200 0.8839 0.8814 0.8672 0.8464
34300 0.8825 0.8797 0.8649 0.8453
34400 0.8747 0.8642 0.8668 0.8454
34500 0.8808 0.8785 0.8676 0.8544
34600 0.8831 0.8806 0.8619 0.8434
34700 0.8795 0.8729 0.8664 0.8447
34800 0.8836 0.8831 0.8666 0.8443
34900 0.8778 0.8764 0.8659 0.8430
35000 0.8815 0.8814 0.8697 0.8476
35100 0.8812 0.8802 0.8644 0.8413
35200 0.8826 0.8813 0.8735 0.8604
35300 0.8795 0.8775 0.8654 0.8447
35400 0.8841 0.8827 0.8692 0.8559
35500 0.8831 0.8822 0.8616 0.8434
35600 0.8815 0.8801 0.8657 0.8530
35700 0.8840 0.8806 0.8696 0.8525
35800 0.8815 0.8794 0.8595 0.8371
35900 0.8785 0.8753 0.8676 0.8555
36000 0.8830 0.8804 0.8612 0.8422
36100 0.8851 0.8827 0.8596 0.8432
36200 0.8835 0.8834 0.8694 0.8515
36300 0.8781 0.8755 0.8666 0.8461
36400 0.8831 0.8838 0.8735 0.8539
