# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.0526 0.0243 0.0504 0.0225
100 0.1858 0.1308 0.1735 0.0586
200 0.2486 0.2168 0.1888 0.0816
300 0.4833 0.4427 0.2079 0.0886
400 0.6600 0.6301 0.2561 0.1142
500 0.6630 0.6316 0.2697 0.1347
600 0.6894 0.6550 0.3063 0.2099
700 0.7229 0.6820 0.3429 0.2060
800 0.7343 0.6975 0.3645 0.2665
900 0.7501 0.7198 0.3818 0.2944
1000 0.7501 0.7116 0.4017 0.3238
1100 0.7645 0.7339 0.4257 0.3216
1200 0.7586 0.7296 0.4463 0.3489
1300 0.7634 0.7404 0.4402 0.3545
1400 0.7678 0.7341 0.4801 0.4177
1500 0.7840 0.7590 0.5009 0.4356
1600 0.7826 0.7592 0.5069 0.4443
1700 0.7887 0.7654 0.5129 0.4329
1800 0.7888 0.7614 0.5372 0.4780
1900 0.7876 0.7602 0.5431 0.4797
2000 0.8079 0.7861 0.5622 0.4926
2100 0.7915 0.7659 0.5753 0.5184
2200 0.8022 0.7782 0.5807 0.5141
2300 0.8063 0.7865 0.5931 0.5331
2400 0.8052 0.7848 0.5966 0.5516
2500 0.8073 0.7868 0.6156 0.5700
2600 0.8128 0.7935 0.6185 0.5713
2700 0.8201 0.8016 0.6318 0.5701
2800 0.8075 0.7864 0.6021 0.5637
2900 0.8157 0.7993 0.6503 0.6051
3000 0.8159 0.7931 0.6502 0.6124
3100 0.8095 0.7920 0.6615 0.6102
3200 0.8233 0.8049 0.6687 0.6126
3300 0.8248 0.8029 0.6642 0.6098
3400 0.8221 0.8062 0.6728 0.6364
3500 0.8138 0.8020 0.6792 0.6380
3600 0.8202 0.8036 0.6807 0.6351
3700 0.8255 0.8103 0.7001 0.6556
3800 0.8231 0.8109 0.7051 0.6709
3900 0.8294 0.8118 0.7058 0.6632
4000 0.8253 0.8017 0.7142 0.6683
4100 0.8289 0.8169 0.7168 0.6806
4200 0.8356 0.8231 0.7108 0.6699
4300 0.8342 0.8198 0.7284 0.6958
4400 0.8383 0.8242 0.7236 0.6914
4500 0.8286 0.8144 0.7277 0.6912
4600 0.8343 0.8180 0.7332 0.6938
4700 0.8387 0.8217 0.7353 0.7014
4800 0.8364 0.8240 0.7437 0.6992
4900 0.8411 0.8282 0.7451 0.7067
5000 0.8385 0.8221 0.7513 0.7213
5100 0.8421 0.8310 0.7485 0.7125
5200 0.8456 0.8326 0.7583 0.7294
5300 0.8412 0.8248 0.7559 0.7273
5400 0.8394 0.8262 0.7558 0.7135
5500 0.8464 0.8320 0.7519 0.7152
5600 0.8477 0.8371 0.7682 0.7405
5700 0.8488 0.8372 0.7616 0.7260
5800 0.8413 0.8294 0.7651 0.7372
5900 0.8431 0.8305 0.7672 0.7295
6000 0.8465 0.8320 0.7672 0.7388
6100 0.8413 0.8267 0.7725 0.7338
6200 0.8391 0.8253 0.7721 0.7460
6300 0.8474 0.8345 0.7773 0.7375
6400 0.8458 0.8347 0.7700 0.7444
6500 0.8483 0.8351 0.7736 0.7431
6600 0.8425 0.8292 0.7826 0.7608
6700 0.8504 0.8390 0.7845 0.7443
6800 0.8457 0.8337 0.7875 0.7525
6900 0.8502 0.8363 0.7885 0.7615
7000 0.8552 0.8462 0.7847 0.7477
7100 0.8512 0.8405 0.7887 0.7617
7200 0.8477 0.8355 0.7919 0.7572
7300 0.8531 0.8444 0.7900 0.7632
7400 0.8543 0.8428 0.7944 0.7600
7500 0.8511 0.8395 0.7929 0.7664
7600 0.8515 0.8397 0.7927 0.7645
7700 0.8549 0.8484 0.7931 0.7698
7800 0.8488 0.8372 0.8012 0.7728
7900 0.8493 0.8368 0.7971 0.7639
8000 0.8504 0.8392 0.7992 0.7647
8100 0.8491 0.8360 0.7947 0.7705
8200 0.8543 0.8420 0.8035 0.7787
8300 0.8450 0.8331 0.7967 0.7736
8400 0.8498 0.8368 0.7993 0.7739
8500 0.8511 0.8382 0.8016 0.7733
8600 0.8555 0.8439 0.8010 0.7758
8700 0.8594 0.8501 0.8107 0.7889
8800 0.8525 0.8425 0.8020 0.7744
8900 0.8522 0.8421 0.7991 0.7731
9000 0.8559 0.8452 0.8090 0.7861
9100 0.8565 0.8473 0.8118 0.7806
9200 0.8549 0.8451 0.8085 0.7833
9300 0.8552 0.8435 0.8067 0.7825
9400 0.8555 0.8459 0.8070 0.7771
9500 0.8522 0.8432 0.8102 0.7880
9600 0.8573 0.8467 0.8156 0.7854
9700 0.8545 0.8442 0.8043 0.7821
9800 0.8526 0.8433 0.8202 0.7900
9900 0.8516 0.8429 0.8051 0.7759
