# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.0599 0.0215 0.1010 0.0356
100 0.1707 0.1340 0.1838 0.0580
200 0.4506 0.3738 0.1908 0.0747
300 0.5405 0.4766 0.2301 0.1072
400 0.5829 0.5473 0.2538 0.1486
500 0.6520 0.6110 0.2874 0.1682
600 0.6890 0.6498 0.3208 0.2109
700 0.7315 0.6984 0.3423 0.2168
800 0.7135 0.6905 0.3749 0.2721
900 0.7615 0.7313 0.3892 0.3021
1000 0.7588 0.7283 0.3847 0.3129
1100 0.7480 0.7183 0.4336 0.3347
1200 0.7681 0.7372 0.4602 0.3672
1300 0.7668 0.7375 0.4591 0.3728
1400 0.7738 0.7490 0.4858 0.4253
1500 0.7777 0.7497 0.4974 0.4272
1600 0.7893 0.7569 0.5227 0.4496
1700 0.7724 0.7444 0.5334 0.4726
1800 0.7905 0.7655 0.5285 0.4717
1900 0.7890 0.7590 0.5765 0.5270
2000 0.7902 0.7654 0.5703 0.5019
2100 0.8072 0.7758 0.5866 0.5220
2200 0.7991 0.7751 0.5905 0.5181
2300 0.8055 0.7807 0.6063 0.5456
2400 0.7965 0.7699 0.6184 0.5623
2500 0.8132 0.7889 0.6190 0.5591
2600 0.8112 0.7857 0.6207 0.5635
2700 0.7989 0.7797 0.6459 0.5889
2800 0.8139 0.7962 0.6421 0.5932
2900 0.8237 0.8027 0.6436 0.5974
3000 0.8202 0.8010 0.6606 0.6029
3100 0.8247 0.8060 0.6610 0.6086
3200 0.8108 0.7867 0.6682 0.6317
3300 0.8171 0.7946 0.6745 0.6324
3400 0.8191 0.7977 0.6719 0.6230
3500 0.8231 0.8046 0.6925 0.6607
3600 0.8301 0.8164 0.6883 0.6569
3700 0.8258 0.8049 0.6961 0.6631
3800 0.8308 0.8115 0.6979 0.6562
3900 0.8344 0.8190 0.7092 0.6726
4000 0.8232 0.8029 0.7132 0.6814
4100 0.8335 0.8170 0.7162 0.6704
4200 0.8362 0.8213 0.7209 0.6881
4300 0.8360 0.8187 0.7180 0.6789
4400 0.8318 0.8113 0.7243 0.6807
4500 0.8340 0.8167 0.7248 0.6855
4600 0.8396 0.8206 0.7303 0.6854
4700 0.8363 0.8225 0.7385 0.7074
4800 0.8386 0.8200 0.7349 0.7003
4900 0.8395 0.8233 0.7348 0.6957
5000 0.8461 0.8327 0.7526 0.7233
5100 0.8437 0.8286 0.7540 0.7272
5200 0.8482 0.8331 0.7503 0.7074
5300 0.8417 0.8259 0.7526 0.7160
5400 0.8350 0.8171 0.7534 0.7134
5500 0.8347 0.8168 0.7618 0.7328
5600 0.8371 0.8207 0.7608 0.7326
5700 0.8463 0.8312 0.7556 0.7160
5800 0.8387 0.8195 0.7648 0.7371
5900 0.8461 0.8314 0.7684 0.7280
6000 0.8442 0.8285 0.7664 0.7407
6100 0.8445 0.8304 0.7688 0.7291
6200 0.8463 0.8331 0.7682 0.7431
6300 0.8505 0.8365 0.7682 0.7455
6400 0.8428 0.8274 0.7771 0.7519
6500 0.8443 0.8348 0.7701 0.7429
6600 0.8519 0.8387 0.7810 0.7552
6700 0.8440 0.8283 0.7760 0.7374
6800 0.8438 0.8279 0.7767 0.7469
6900 0.8480 0.8347 0.7777 0.7489
7000 0.8482 0.8337 0.7879 0.7518
7100 0.8483 0.8347 0.7771 0.7463
7200 0.8475 0.8348 0.7829 0.7529
7300 0.8528 0.8409 0.7864 0.7504
7400 0.8508 0.8393 0.7823 0.7572
7500 0.8525 0.8407 0.7843 0.7612
7600 0.8477 0.8343 0.7854 0.7487
7700 0.8550 0.8432 0.7946 0.7656
7800 0.8511 0.8388 0.7945 0.7638
7900 0.8536 0.8405 0.7916 0.7684
8000 0.8501 0.8373 0.7946 0.7719
8100 0.8502 0.8357 0.7958 0.7600
8200 0.8528 0.8406 0.8027 0.7688
8300 0.8569 0.8459 0.7953 0.7607
8400 0.8526 0.8399 0.8023 0.7801
8500 0.8541 0.8411 0.7958 0.7726
8600 0.8536 0.8417 0.7914 0.7583
8700 0.8569 0.8444 0.7903 0.7580
8800 0.8499 0.8379 0.8026 0.7816
8900 0.8512 0.8388 0.7969 0.7620
9000 0.8542 0.8436 0.8012 0.7691
9100 0.8523 0.8385 0.7970 0.7746
9200 0.8576 0.8475 0.7985 0.7622
9300 0.8501 0.8329 0.8040 0.7676
9400 0.8588 0.8465 0.8090 0.7761
9500 0.8512 0.8376 0.8005 0.7676
9600 0.8575 0.8449 0.8032 0.7766
9700 0.8545 0.8432 0.8114 0.7785
9800 0.8529 0.8381 0.8070 0.7855
9900 0.8571 0.8475 0.8105 0.7774
