# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.0597 0.0186 0.0902 0.0373
100 0.1978 0.0979 0.1596 0.0812
200 0.3546 0.2820 0.2082 0.1165
300 0.4662 0.4009 0.2676 0.1635
400 0.6227 0.5801 0.3023 0.1889
500 0.6712 0.6407 0.3475 0.2551
600 0.7051 0.6735 0.3650 0.2835
700 0.7270 0.6891 0.4153 0.3164
800 0.7311 0.6995 0.4467 0.3464
900 0.7029 0.6684 0.4503 0.3778
1000 0.7440 0.7109 0.4918 0.4058
1100 0.7599 0.7368 0.5201 0.4601
1200 0.7662 0.7377 0.5348 0.4777
1300 0.7462 0.7180 0.5735 0.5228
1400 0.7761 0.7507 0.5859 0.5347
1500 0.7809 0.7524 0.5869 0.5153
1600 0.7790 0.7532 0.6148 0.5628
1700 0.7716 0.7556 0.6264 0.5803
1800 0.7929 0.7679 0.6252 0.5654
1900 0.8004 0.7765 0.6611 0.6095
2000 0.7954 0.7713 0.6712 0.6352
2100 0.7814 0.7542 0.6860 0.6537
2200 0.8088 0.7861 0.6801 0.6302
2300 0.8067 0.7789 0.7111 0.6592
2400 0.8157 0.7918 0.7056 0.6587
2500 0.8077 0.7839 0.7230 0.6919
2600 0.8185 0.7984 0.7341 0.6943
2700 0.8179 0.7966 0.7451 0.7146
2800 0.8093 0.7855 0.7266 0.6884
2900 0.8093 0.7862 0.7263 0.6930
3000 0.8224 0.8013 0.7648 0.7247
3100 0.8237 0.8030 0.7367 0.7078
3200 0.8205 0.8023 0.7796 0.7413
3300 0.8233 0.8038 0.7826 0.7598
3400 0.8216 0.8021 0.7853 0.7614
3500 0.8327 0.8133 0.7696 0.7374
3600 0.8280 0.8097 0.7919 0.7684
3700 0.8368 0.8193 0.7908 0.7539
3800 0.8339 0.8164 0.8003 0.7662
3900 0.8349 0.8197 0.8070 0.7784
4000 0.8339 0.8191 0.8154 0.7950
4100 0.8305 0.8124 0.8191 0.7996
4200 0.8303 0.8136 0.8179 0.7987
4300 0.8373 0.8218 0.8202 0.7889
4400 0.8323 0.8152 0.8203 0.7883
4500 0.8337 0.8158 0.8181 0.7967
4600 0.8430 0.8288 0.8228 0.8037
4700 0.8406 0.8238 0.8303 0.8095
4800 0.8334 0.8128 0.8404 0.8105
4900 0.8439 0.8268 0.8414 0.8121
5000 0.8400 0.8229 0.8274 0.8084
5100 0.8389 0.8242 0.8407 0.8258
5200 0.8417 0.8261 0.8415 0.8178
5300 0.8367 0.8269 0.8487 0.8352
5400 0.8390 0.8262 0.8513 0.8380
5500 0.8519 0.8406 0.8556 0.8311
5600 0.8460 0.8317 0.8536 0.8297
5700 0.8515 0.8369 0.8511 0.8375
5800 0.8453 0.8301 0.8483 0.8262
5900 0.8507 0.8392 0.8549 0.8395
6000 0.8497 0.8374 0.8551 0.8363
6100 0.8467 0.8322 0.8628 0.8488
6200 0.8483 0.8344 0.8579 0.8454
6300 0.8531 0.8363 0.8558 0.8421
6400 0.8488 0.8344 0.8570 0.8429
6500 0.8536 0.8413 0.8655 0.8423
6600 0.8532 0.8411 0.8627 0.8386
6700 0.8411 0.8265 0.8689 0.8461
6800 0.8553 0.8428 0.8596 0.8363
6900 0.8524 0.8380 0.8642 0.8421
7000 0.8520 0.8392 0.8631 0.8483
7100 0.8539 0.8395 0.8664 0.8459
7200 0.8552 0.8439 0.8599 0.8367
7300 0.8581 0.8465 0.8690 0.8567
7400 0.8597 0.8504 0.8669 0.8545
7500 0.8577 0.8494 0.8772 0.8563
7600 0.8486 0.8353 0.8727 0.8599
7700 0.8596 0.8493 0.8703 0.8485
7800 0.8536 0.8417 0.8733 0.8549
7900 0.8594 0.8501 0.8775 0.8655
8000 0.8528 0.8394 0.8785 0.8676
8100 0.8531 0.8419 0.8806 0.8685
8200 0.8608 0.8504 0.8753 0.8543
8300 0.8627 0.8542 0.8825 0.8709
8400 0.8551 0.8436 0.8772 0.8542
8500 0.8622 0.8525 0.8750 0.8542
8600 0.8555 0.8446 0.8808 0.8610
8700 0.8541 0.8419 0.8730 0.8587
8800 0.8577 0.8495 0.8723 0.8564
8900 0.8575 0.8471 0.8731 0.8595
9000 0.8510 0.8378 0.8838 0.8725
9100 0.8610 0.8508 0.8813 0.8700
9200 0.8638 0.8551 0.8760 0.8557
9300 0.8623 0.8538 0.8837 0.8712
9400 0.8549 0.8433 0.8835 0.8738
9500 0.8655 0.8575 0.8824 0.8623
9600 0.8595 0.8473 0.8819 0.8621
9700 0.8654 0.8555 0.8747 0.8524
9800 0.8620 0.8520 0.8863 0.8762
9900 0.8626 0.8563 0.8811 0.8630
