# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.0413 0.0134 0.0743 0.0251
100 0.1607 0.0769 0.1704 0.0777
200 0.3300 0.2393 0.2080 0.0849
300 0.4588 0.3868 0.2533 0.1356
400 0.5939 0.5603 0.2911 0.1775
500 0.6895 0.6464 0.3419 0.2329
600 0.7072 0.6631 0.3644 0.2684
700 0.7175 0.6891 0.4026 0.2984
800 0.7349 0.7011 0.4481 0.3804
900 0.7425 0.7087 0.4641 0.3679
1000 0.7545 0.7210 0.5109 0.4514
1100 0.7568 0.7194 0.5153 0.4569
1200 0.7569 0.7262 0.5367 0.4668
1300 0.7693 0.7330 0.5641 0.5002
1400 0.7628 0.7354 0.5778 0.5178
1500 0.7826 0.7526 0.6015 0.5343
1600 0.7798 0.7546 0.6126 0.5650
1700 0.7744 0.7531 0.6337 0.5726
1800 0.7913 0.7555 0.6234 0.5802
1900 0.7862 0.7576 0.6563 0.5981
2000 0.7988 0.7687 0.6592 0.6104
2100 0.7888 0.7656 0.6715 0.6323
2200 0.7965 0.7663 0.6995 0.6463
2300 0.7960 0.7635 0.6901 0.6334
2400 0.7968 0.7678 0.6883 0.6432
2500 0.7953 0.7659 0.6987 0.6571
2600 0.8074 0.7830 0.7287 0.6850
2700 0.8153 0.7903 0.7467 0.7029
2800 0.8172 0.7938 0.7501 0.7093
2900 0.8132 0.7895 0.7441 0.7085
3000 0.8133 0.7922 0.7485 0.7222
3100 0.8161 0.7946 0.7593 0.7190
3200 0.8227 0.8032 0.7725 0.7483
3300 0.8215 0.7999 0.7683 0.7310
3400 0.8168 0.7956 0.7783 0.7466
3500 0.8216 0.8028 0.7914 0.7696
3600 0.8253 0.8088 0.8000 0.7763
3700 0.8305 0.8102 0.7946 0.7734
3800 0.8326 0.8135 0.7962 0.7768
3900 0.8279 0.8073 0.7937 0.7719
4000 0.8229 0.7985 0.8123 0.7923
4100 0.8364 0.8191 0.8142 0.7884
4200 0.8292 0.8089 0.8114 0.7847
4300 0.8332 0.8123 0.8255 0.8057
4400 0.8390 0.8208 0.8138 0.7941
4500 0.8346 0.8145 0.8246 0.8082
4600 0.8378 0.8205 0.8291 0.8022
4700 0.8372 0.8182 0.8271 0.8084
4800 0.8343 0.8163 0.8268 0.8022
4900 0.8393 0.8187 0.8313 0.8075
5000 0.8418 0.8236 0.8374 0.8218
5100 0.8407 0.8243 0.8384 0.8223
5200 0.8423 0.8226 0.8440 0.8220
5300 0.8370 0.8161 0.8433 0.8179
5400 0.8463 0.8316 0.8444 0.8193
5500 0.8446 0.8305 0.8431 0.8175
5600 0.8432 0.8285 0.8522 0.8283
5700 0.8497 0.8351 0.8441 0.8311
5800 0.8429 0.8257 0.8524 0.8394
5900 0.8456 0.8322 0.8469 0.8235
6000 0.8473 0.8318 0.8507 0.8299
6100 0.8490 0.8339 0.8563 0.8414
6200 0.8506 0.8380 0.8532 0.8370
6300 0.8526 0.8390 0.8568 0.8415
6400 0.8524 0.8406 0.8607 0.8476
6500 0.8522 0.8388 0.8609 0.8481
6600 0.8552 0.8423 0.8621 0.8490
6700 0.8448 0.8298 0.8590 0.8461
6800 0.8463 0.8276 0.8592 0.8360
6900 0.8496 0.8340 0.8685 0.8561
7000 0.8490 0.8374 0.8637 0.8420
7100 0.8518 0.8364 0.8624 0.8448
7200 0.8567 0.8455 0.8641 0.8509
7300 0.8542 0.8419 0.8642 0.8461
7400 0.8532 0.8385 0.8612 0.8511
7500 0.8551 0.8418 0.8745 0.8624
7600 0.8521 0.8396 0.8692 0.8587
7700 0.8555 0.8418 0.8731 0.8622
7800 0.8558 0.8457 0.8731 0.8554
7900 0.8594 0.8471 0.8679 0.8518
8000 0.8563 0.8477 0.8805 0.8698
8100 0.8573 0.8432 0.8778 0.8577
8200 0.8584 0.8446 0.8692 0.8579
8300 0.8579 0.8446 0.8745 0.8648
8400 0.8590 0.8482 0.8764 0.8586
8500 0.8572 0.8431 0.8798 0.8686
8600 0.8577 0.8444 0.8733 0.8564
8700 0.8614 0.8501 0.8786 0.8587
8800 0.8545 0.8421 0.8721 0.8566
8900 0.8581 0.8477 0.8712 0.8542
9000 0.8585 0.8444 0.8839 0.8740
9100 0.8595 0.8520 0.8729 0.8625
9200 0.8542 0.8441 0.8859 0.8765
9300 0.8579 0.8474 0.8759 0.8562
9400 0.8632 0.8513 0.8774 0.8617
9500 0.8600 0.8480 0.8791 0.8702
9600 0.8499 0.8399 0.8836 0.8746
9700 0.8593 0.8461 0.8819 0.8720
9800 0.8642 0.8519 0.8808 0.8626
9900 0.8572 0.8452 0.8877 0.8777
