# Epoch  AAaccuracy Af1 UAccuracy Uf1
1 0.7876 0.7702 0.6313 0.5821
2 0.8331 0.8209 0.7693 0.7373
3 0.8407 0.8300 0.8064 0.7866
4 0.8565 0.8505 0.8355 0.8093
5 0.8605 0.8567 0.8372 0.8182
6 0.8629 0.8538 0.8452 0.8185
7 0.8717 0.8665 0.8532 0.8411
8 0.8724 0.8720 0.8534 0.8394
9 0.8748 0.8687 0.8631 0.8406
10 0.8803 0.8798 0.8690 0.8489
11 0.8797 0.8777 0.8623 0.8391
12 0.8835 0.8843 0.8629 0.8473
13 0.8819 0.8801 0.8652 0.8513
14 0.8797 0.8788 0.8731 0.8517
15 0.8764 0.8722 0.8801 0.8596
16 0.8826 0.8771 0.8768 0.8637
17 0.8802 0.8794 0.8751 0.8567
18 0.8885 0.8894 0.8777 0.8564
19 0.8853 0.8862 0.8824 0.8700
20 0.8857 0.8854 0.8764 0.8569
21 0.8832 0.8844 0.8783 0.8690
22 0.8845 0.8840 0.8869 0.8750
23 0.8878 0.8883 0.8851 0.8744
24 0.8873 0.8893 0.8792 0.8604
25 0.8853 0.8873 0.8875 0.8662
26 0.8890 0.8917 0.8806 0.8685
27 0.8888 0.8886 0.8898 0.8706
28 0.8941 0.8972 0.8794 0.8665
29 0.8913 0.8930 0.8817 0.8633
30 0.8884 0.8895 0.8855 0.8755
31 0.8932 0.8961 0.8856 0.8731
32 0.8916 0.8931 0.8786 0.8657
33 0.8908 0.8904 0.8885 0.8695
34 0.8917 0.8932 0.8801 0.8690
35 0.8911 0.8933 0.8885 0.8686
36 0.8890 0.8893 0.8887 0.8707
37 0.8937 0.8982 0.8852 0.8729
38 0.8882 0.8878 0.8847 0.8745
39 0.8944 0.8980 0.8863 0.8754
40 0.8949 0.8969 0.8850 0.8657
41 0.8924 0.8956 0.8801 0.8698
42 0.8934 0.8975 0.8828 0.8731
43 0.8954 0.8989 0.8897 0.8697
44 0.8939 0.8972 0.8844 0.8743
45 0.8929 0.8947 0.8786 0.8572
46 0.8948 0.8996 0.8906 0.8818
47 0.8924 0.8960 0.8869 0.8717
48 0.8940 0.8964 0.8800 0.8665
49 0.8942 0.8983 0.8892 0.8723
50 0.8930 0.8937 0.8893 0.8694
51 0.8936 0.8953 0.8930 0.8737
52 0.8925 0.8969 0.8866 0.8760
53 0.8875 0.8897 0.8841 0.8727
54 0.8916 0.8930 0.8896 0.8797
55 0.8947 0.8977 0.8911 0.8805
56 0.8925 0.8944 0.8883 0.8784
57 0.8917 0.8928 0.8893 0.8781
58 0.8949 0.8965 0.8879 0.8667
59 0.8930 0.8953 0.8884 0.8799
60 0.8922 0.8929 0.8918 0.8725
61 0.8938 0.8958 0.8934 0.8752
62 0.8954 0.8992 0.8920 0.8817
63 0.8967 0.9000 0.8834 0.8718
64 0.8910 0.8944 0.8886 0.8709
65 0.8918 0.8941 0.8860 0.8691
66 0.8953 0.8986 0.8880 0.8683
67 0.8970 0.9004 0.8904 0.8711
68 0.8883 0.8866 0.8890 0.8771
69 0.8929 0.8940 0.8917 0.8737
70 0.8920 0.8933 0.8794 0.8685
71 0.8967 0.9014 0.8947 0.8860
72 0.8931 0.8952 0.8942 0.8853
73 0.8933 0.8961 0.8883 0.8760
74 0.8901 0.8899 0.8858 0.8709
75 0.8948 0.8969 0.8850 0.8675
76 0.8885 0.8890 0.8896 0.8809
77 0.8946 0.8977 0.8883 0.8778
78 0.8937 0.8973 0.8802 0.8617
79 0.8921 0.8949 0.8920 0.8738
80 0.8937 0.8962 0.8836 0.8753
81 0.8936 0.8966 0.8898 0.8704
82 0.8901 0.8953 0.8922 0.8772
83 0.8943 0.8978 0.8926 0.8738
84 0.8957 0.8986 0.8939 0.8844
85 0.8924 0.8958 0.8847 0.8763
86 0.8926 0.8947 0.8911 0.8713
87 0.8919 0.8932 0.8921 0.8827
88 0.8912 0.8928 0.8923 0.8780
89 0.8956 0.8992 0.8936 0.8844
90 0.8939 0.8938 0.8852 0.8748
91 0.8938 0.8968 0.8912 0.8823
92 0.8928 0.8945 0.8990 0.8902
93 0.8963 0.8993 0.8951 0.8850
94 0.8940 0.8969 0.8909 0.8731
95 0.8924 0.8958 0.8921 0.8816
96 0.8942 0.8987 0.8897 0.8780
97 0.8896 0.8906 0.8967 0.8793
98 0.8928 0.8927 0.8862 0.8740
99 0.8951 0.8978 0.8841 0.8645
