# Epoch  AAaccuracy Af1 UAccuracy Uf1
1 0.7578 0.7469 0.5901 0.5396
2 0.8197 0.7988 0.7307 0.7063
3 0.8432 0.8353 0.7899 0.7666
4 0.8618 0.8511 0.8291 0.8009
5 0.8675 0.8610 0.8427 0.8251
6 0.8691 0.8651 0.8413 0.8173
7 0.8802 0.8761 0.8506 0.8242
8 0.8737 0.8691 0.8496 0.8341
9 0.8752 0.8734 0.8631 0.8376
10 0.8780 0.8744 0.8689 0.8466
11 0.8804 0.8798 0.8618 0.8406
12 0.8856 0.8833 0.8717 0.8592
13 0.8816 0.8798 0.8756 0.8563
14 0.8870 0.8860 0.8793 0.8675
15 0.8887 0.8875 0.8726 0.8515
16 0.8794 0.8774 0.8777 0.8653
17 0.8877 0.8853 0.8742 0.8632
18 0.8816 0.8736 0.8728 0.8624
19 0.8895 0.8882 0.8710 0.8501
20 0.8927 0.8913 0.8730 0.8551
21 0.8917 0.8925 0.8813 0.8693
22 0.8895 0.8876 0.8758 0.8554
23 0.8953 0.8968 0.8811 0.8686
24 0.8923 0.8943 0.8808 0.8632
25 0.8895 0.8876 0.8800 0.8611
26 0.8947 0.8950 0.8728 0.8592
27 0.8953 0.8962 0.8821 0.8644
28 0.8913 0.8911 0.8803 0.8703
29 0.8933 0.8943 0.8853 0.8747
30 0.8902 0.8909 0.8806 0.8616
31 0.8950 0.8953 0.8817 0.8611
32 0.8938 0.8940 0.8849 0.8729
33 0.8978 0.8999 0.8876 0.8676
34 0.8927 0.8940 0.8816 0.8685
35 0.8957 0.8976 0.8851 0.8742
36 0.8959 0.8954 0.8838 0.8722
37 0.8959 0.8976 0.8947 0.8852
38 0.8955 0.8967 0.8864 0.8679
39 0.8961 0.8977 0.8813 0.8670
40 0.8970 0.8990 0.8926 0.8837
41 0.8937 0.8915 0.8894 0.8681
42 0.8973 0.9007 0.8788 0.8586
43 0.8918 0.8915 0.8908 0.8707
44 0.8981 0.9003 0.8842 0.8650
45 0.8950 0.8952 0.8921 0.8718
46 0.8907 0.8938 0.8881 0.8684
47 0.8965 0.8983 0.8787 0.8606
48 0.8976 0.8985 0.8842 0.8645
49 0.8970 0.8977 0.8791 0.8591
50 0.8963 0.8978 0.8889 0.8701
51 0.8943 0.8950 0.8902 0.8682
52 0.8943 0.8939 0.8870 0.8671
53 0.8948 0.8945 0.8854 0.8652
54 0.9001 0.9032 0.8860 0.8646
55 0.8936 0.8950 0.8947 0.8846
56 0.8971 0.8978 0.8877 0.8761
57 0.8967 0.8978 0.8894 0.8696
58 0.8922 0.8932 0.8871 0.8710
59 0.8965 0.8984 0.8902 0.8795
60 0.8955 0.8967 0.8915 0.8820
61 0.8961 0.8969 0.8873 0.8774
62 0.9006 0.9038 0.8920 0.8821
63 0.8966 0.8987 0.8861 0.8659
64 0.8945 0.8948 0.8895 0.8677
65 0.8940 0.8956 0.8842 0.8656
66 0.8944 0.8967 0.8861 0.8742
67 0.8967 0.8987 0.8902 0.8744
68 0.8963 0.8976 0.8841 0.8654
69 0.8931 0.8920 0.8889 0.8719
70 0.8945 0.8949 0.8963 0.8877
71 0.8952 0.8956 0.8906 0.8710
72 0.8923 0.8919 0.8824 0.8653
73 0.8917 0.8921 0.8831 0.8632
74 0.8936 0.8948 0.8843 0.8655
75 0.8990 0.8999 0.8936 0.8841
76 0.8947 0.8973 0.8933 0.8836
77 0.8934 0.8960 0.8917 0.8815
78 0.8971 0.9004 0.8922 0.8811
79 0.8973 0.8985 0.8935 0.8844
80 0.8882 0.8895 0.8929 0.8729
81 0.8957 0.8985 0.8839 0.8764
82 0.8912 0.8913 0.8887 0.8759
83 0.8924 0.8955 0.8940 0.8727
84 0.8878 0.8914 0.8871 0.8678
85 0.8972 0.9008 0.8911 0.8815
86 0.8905 0.8865 0.8856 0.8652
87 0.8967 0.8996 0.8922 0.8824
88 0.8965 0.8981 0.8865 0.8687
89 0.8946 0.8963 0.8829 0.8637
90 0.8987 0.9016 0.8846 0.8642
91 0.8971 0.8970 0.8908 0.8815
92 0.8920 0.8911 0.8866 0.8668
93 0.8965 0.8975 0.8891 0.8715
94 0.8940 0.8961 0.8942 0.8749
95 0.8922 0.8940 0.8920 0.8830
96 0.8976 0.8976 0.8831 0.8710
97 0.8969 0.8984 0.8890 0.8728
98 0.8961 0.8982 0.8927 0.8822
99 0.8953 0.8962 0.8815 0.8713
