# Epoch  AAaccuracy Af1 UAccuracy Uf1
1 0.8004 0.7805 0.6490 0.5992
2 0.8368 0.8192 0.7642 0.7352
3 0.8582 0.8493 0.8123 0.7904
4 0.8582 0.8463 0.8125 0.7894
5 0.8649 0.8591 0.8397 0.8246
6 0.8688 0.8653 0.8253 0.8002
7 0.8678 0.8600 0.8534 0.8254
8 0.8745 0.8705 0.8611 0.8482
9 0.8731 0.8680 0.8595 0.8366
10 0.8803 0.8776 0.8570 0.8337
11 0.8797 0.8785 0.8661 0.8419
12 0.8828 0.8815 0.8622 0.8485
13 0.8861 0.8891 0.8658 0.8421
14 0.8850 0.8845 0.8712 0.8581
15 0.8859 0.8866 0.8700 0.8568
16 0.8797 0.8823 0.8629 0.8487
17 0.8845 0.8851 0.8743 0.8629
18 0.8892 0.8912 0.8661 0.8492
19 0.8881 0.8900 0.8758 0.8593
20 0.8849 0.8861 0.8801 0.8589
21 0.8900 0.8929 0.8781 0.8679
22 0.8894 0.8888 0.8740 0.8615
23 0.8861 0.8883 0.8778 0.8597
24 0.8881 0.8887 0.8836 0.8603
25 0.8913 0.8916 0.8854 0.8633
26 0.8905 0.8910 0.8794 0.8684
27 0.8896 0.8883 0.8797 0.8590
28 0.8863 0.8884 0.8914 0.8800
29 0.8916 0.8952 0.8782 0.8671
30 0.8903 0.8914 0.8874 0.8783
31 0.8854 0.8889 0.8869 0.8760
32 0.8923 0.8957 0.8867 0.8757
33 0.8903 0.8938 0.8834 0.8614
34 0.8904 0.8938 0.8895 0.8707
35 0.8921 0.8950 0.8856 0.8751
36 0.8928 0.8971 0.8861 0.8759
37 0.8952 0.8985 0.8839 0.8672
38 0.8930 0.8971 0.8833 0.8722
39 0.8916 0.8946 0.8823 0.8599
40 0.8901 0.8914 0.8854 0.8735
41 0.8928 0.8960 0.8848 0.8650
42 0.8897 0.8923 0.8899 0.8803
43 0.8922 0.8945 0.8811 0.8681
44 0.8943 0.8979 0.8828 0.8713
45 0.8933 0.8977 0.8848 0.8734
46 0.8886 0.8925 0.8897 0.8681
47 0.8927 0.8951 0.8876 0.8772
48 0.8902 0.8935 0.8911 0.8699
49 0.8955 0.8980 0.8799 0.8631
50 0.8966 0.9000 0.8904 0.8798
51 0.8923 0.8956 0.8902 0.8689
52 0.8951 0.8993 0.8827 0.8724
53 0.8936 0.8959 0.8889 0.8782
54 0.8896 0.8922 0.8882 0.8698
55 0.8935 0.8973 0.8769 0.8569
56 0.8863 0.8895 0.8809 0.8644
57 0.8932 0.8961 0.8895 0.8788
58 0.8955 0.9001 0.8843 0.8743
59 0.8943 0.8983 0.8912 0.8817
60 0.8935 0.8963 0.8903 0.8755
61 0.8931 0.8964 0.8910 0.8759
62 0.8926 0.8960 0.8926 0.8833
63 0.8933 0.8952 0.8875 0.8798
64 0.8858 0.8827 0.8912 0.8791
65 0.8966 0.9020 0.8910 0.8829
66 0.8950 0.8991 0.8904 0.8821
67 0.8956 0.8972 0.8909 0.8719
68 0.8959 0.8992 0.8858 0.8773
69 0.8912 0.8946 0.8893 0.8784
70 0.8896 0.8957 0.8898 0.8804
71 0.8926 0.8944 0.8936 0.8833
72 0.8940 0.8963 0.8911 0.8765
73 0.8929 0.8959 0.8930 0.8748
74 0.8912 0.8936 0.8885 0.8751
75 0.8908 0.8955 0.8938 0.8838
76 0.8959 0.8968 0.8850 0.8765
77 0.8927 0.8985 0.8887 0.8766
78 0.8934 0.8962 0.8887 0.8687
79 0.8953 0.8988 0.8882 0.8786
80 0.8954 0.9007 0.8868 0.8776
81 0.8941 0.8976 0.8924 0.8775
82 0.8947 0.8990 0.8916 0.8819
83 0.8934 0.8967 0.8921 0.8817
84 0.8950 0.8989 0.8934 0.8843
85 0.8915 0.8929 0.8830 0.8732
86 0.8913 0.8910 0.8933 0.8757
87 0.8957 0.8994 0.8865 0.8693
88 0.8914 0.8925 0.8872 0.8686
89 0.8921 0.8948 0.8957 0.8779
90 0.8963 0.9008 0.8823 0.8658
91 0.8908 0.8889 0.8947 0.8742
92 0.8963 0.9006 0.8926 0.8827
93 0.8901 0.8926 0.8779 0.8669
94 0.8912 0.8927 0.8962 0.8873
95 0.8926 0.8969 0.8898 0.8744
96 0.8957 0.9000 0.8873 0.8720
97 0.8959 0.9010 0.8929 0.8833
98 0.8917 0.8954 0.8942 0.8741
99 0.8943 0.8973 0.8911 0.8713
