# Epoch  AAaccuracy Af1 UAccuracy Uf1
1 0.7165 0.7137 0.5884 0.5280
2 0.8315 0.8120 0.7571 0.7218
3 0.8184 0.8171 0.8105 0.7858
4 0.8566 0.8452 0.8362 0.8152
5 0.8566 0.8478 0.8369 0.8195
6 0.8625 0.8555 0.8317 0.8038
7 0.8647 0.8581 0.8389 0.8130
8 0.8653 0.8601 0.8544 0.8404
9 0.8772 0.8749 0.8532 0.8300
10 0.8757 0.8729 0.8640 0.8506
11 0.8784 0.8753 0.8596 0.8372
12 0.8772 0.8709 0.8661 0.8451
13 0.8811 0.8790 0.8650 0.8418
14 0.8806 0.8786 0.8574 0.8330
15 0.8764 0.8770 0.8827 0.8712
16 0.8830 0.8814 0.8684 0.8550
17 0.8878 0.8882 0.8778 0.8658
18 0.8878 0.8882 0.8701 0.8557
19 0.8889 0.8864 0.8743 0.8549
20 0.8842 0.8845 0.8726 0.8547
21 0.8903 0.8911 0.8764 0.8658
22 0.8876 0.8853 0.8796 0.8705
23 0.8860 0.8871 0.8744 0.8521
24 0.8893 0.8882 0.8798 0.8685
25 0.8911 0.8953 0.8835 0.8745
26 0.8925 0.8945 0.8798 0.8677
27 0.8930 0.8945 0.8750 0.8633
28 0.8951 0.8974 0.8832 0.8717
29 0.8907 0.8909 0.8886 0.8777
30 0.8946 0.8977 0.8781 0.8676
31 0.8883 0.8911 0.8768 0.8647
32 0.8898 0.8906 0.8819 0.8590
33 0.8926 0.8951 0.8822 0.8690
34 0.8923 0.8954 0.8856 0.8760
35 0.8940 0.8965 0.8844 0.8624
36 0.8932 0.8946 0.8881 0.8684
37 0.8969 0.9016 0.8845 0.8648
38 0.8961 0.9003 0.8913 0.8812
39 0.8928 0.8963 0.8786 0.8669
40 0.8960 0.8998 0.8878 0.8760
41 0.8887 0.8924 0.8821 0.8629
42 0.8933 0.8971 0.8889 0.8769
43 0.8982 0.9021 0.8857 0.8747
44 0.8899 0.8877 0.8890 0.8789
45 0.8923 0.8944 0.8878 0.8774
46 0.8939 0.8955 0.8830 0.8692
47 0.8940 0.8961 0.8889 0.8794
48 0.8914 0.8940 0.8883 0.8774
49 0.8943 0.8979 0.8861 0.8647
50 0.8934 0.8968 0.8897 0.8714
51 0.8919 0.8945 0.8920 0.8814
52 0.8939 0.8942 0.8855 0.8753
53 0.8914 0.8941 0.8901 0.8791
54 0.8912 0.8913 0.8906 0.8724
55 0.8965 0.9003 0.8858 0.8647
56 0.8966 0.8990 0.8830 0.8666
57 0.8911 0.8915 0.8846 0.8674
58 0.8955 0.8974 0.8884 0.8694
59 0.8942 0.8975 0.8832 0.8716
60 0.8944 0.8961 0.8894 0.8702
61 0.8934 0.8955 0.8865 0.8712
62 0.8955 0.8999 0.8865 0.8688
63 0.8913 0.8929 0.8908 0.8791
64 0.8918 0.8895 0.8889 0.8806
65 0.8933 0.8959 0.8831 0.8656
66 0.8943 0.8975 0.8867 0.8666
67 0.8959 0.8999 0.8908 0.8817
68 0.8952 0.8987 0.8863 0.8658
69 0.8937 0.8955 0.8928 0.8819
70 0.8951 0.8977 0.8759 0.8547
71 0.8938 0.8956 0.8893 0.8697
72 0.8891 0.8939 0.8963 0.8870
73 0.8929 0.8962 0.8845 0.8677
74 0.8940 0.8968 0.8874 0.8692
75 0.8917 0.8932 0.8859 0.8674
76 0.8955 0.8986 0.8889 0.8780
77 0.8956 0.8977 0.8901 0.8696
78 0.8954 0.8979 0.8943 0.8853
79 0.8945 0.8982 0.8866 0.8650
80 0.8954 0.8999 0.8888 0.8774
81 0.8922 0.8929 0.8888 0.8708
82 0.8924 0.8954 0.8864 0.8764
83 0.8947 0.8988 0.8923 0.8822
84 0.8946 0.8974 0.8948 0.8755
85 0.8906 0.8913 0.8886 0.8695
86 0.8891 0.8854 0.8941 0.8843
87 0.8970 0.9012 0.8886 0.8677
88 0.8965 0.9015 0.8938 0.8843
89 0.8932 0.8962 0.8889 0.8735
90 0.8927 0.8975 0.8850 0.8694
91 0.8949 0.8978 0.8901 0.8787
92 0.8954 0.8996 0.8826 0.8666
93 0.8916 0.8929 0.8909 0.8792
94 0.8915 0.8950 0.8878 0.8683
95 0.8915 0.8923 0.8825 0.8613
96 0.8964 0.8994 0.8854 0.8661
97 0.8937 0.8955 0.8899 0.8690
98 0.8957 0.8994 0.8877 0.8650
99 0.8975 0.8993 0.8950 0.8770
