# Epoch  AAaccuracy Af1 UAccuracy Uf1
1 0.6142 0.5215 0.1313 0.0983
2 0.5831 0.5109 0.1453 0.1052
3 0.7164 0.6835 0.1916 0.1625
4 0.7970 0.7533 0.3249 0.3059
5 0.9093 0.8453 0.4657 0.4716
6 0.8966 0.8149 0.5609 0.5660
7 0.9429 0.8680 0.6796 0.6768
8 0.9619 0.8897 0.7195 0.7135
9 0.9626 0.8805 0.7227 0.7203
10 0.9511 0.8754 0.7367 0.7344
11 0.9588 0.8649 0.7481 0.7471
12 0.9651 0.8658 0.7468 0.7444
13 0.9645 0.8849 0.7113 0.7093
14 0.9670 0.8916 0.7805 0.7797
15 0.9638 0.8748 0.7881 0.7867
16 0.9664 0.8983 0.7646 0.7605
17 0.9626 0.8710 0.7754 0.7744
18 0.9461 0.8849 0.7893 0.7867
19 0.9664 0.8903 0.8242 0.8228
20 0.9664 0.8631 0.8173 0.8135
21 0.9695 0.8779 0.8103 0.8081
22 0.9695 0.8931 0.8039 0.8033
23 0.9740 0.8819 0.7862 0.7845
24 0.9727 0.8804 0.8128 0.8104
25 0.9734 0.8855 0.7893 0.7864
26 0.9695 0.8665 0.8382 0.8375
27 0.9740 0.8918 0.8458 0.8452
28 0.9556 0.8663 0.8287 0.8243
29 0.9683 0.8657 0.8420 0.8394
30 0.9664 0.8798 0.8407 0.8402
31 0.9657 0.8843 0.8141 0.8130
32 0.9708 0.8737 0.8369 0.8348
33 0.9753 0.8861 0.8255 0.8240
34 0.9708 0.8872 0.8464 0.8457
35 0.9778 0.8987 0.8204 0.8172
36 0.9740 0.8788 0.8255 0.8227
37 0.9714 0.8880 0.8420 0.8405
38 0.9664 0.8726 0.8325 0.8313
39 0.9746 0.8851 0.8484 0.8463
40 0.9740 0.8751 0.8287 0.8266
41 0.9772 0.9022 0.8299 0.8282
42 0.9753 0.9012 0.8433 0.8421
43 0.9778 0.9080 0.8477 0.8467
44 0.9740 0.8817 0.8293 0.8283
45 0.9772 0.8955 0.8312 0.8300
46 0.9740 0.9060 0.8464 0.8453
47 0.9753 0.8893 0.8433 0.8409
48 0.9753 0.8969 0.8401 0.8392
49 0.9772 0.8881 0.8484 0.8464
50 0.9778 0.9151 0.8617 0.8595
51 0.9772 0.9122 0.8439 0.8408
52 0.9740 0.8886 0.8325 0.8312
53 0.9740 0.8818 0.8458 0.8457
54 0.9803 0.9038 0.8522 0.8499
55 0.9765 0.8998 0.8306 0.8288
56 0.9778 0.9109 0.8388 0.8384
57 0.9734 0.8968 0.8198 0.8185
58 0.9670 0.9067 0.8445 0.8432
59 0.9791 0.9208 0.8414 0.8386
60 0.9708 0.8692 0.8490 0.8488
61 0.9772 0.8913 0.8388 0.8379
62 0.9816 0.9161 0.8293 0.8265
63 0.9791 0.9148 0.8388 0.8362
64 0.9721 0.8790 0.8293 0.8276
65 0.9721 0.8848 0.8306 0.8273
66 0.9765 0.8839 0.8541 0.8510
67 0.9753 0.8741 0.8452 0.8427
68 0.9765 0.8830 0.8280 0.8262
69 0.9702 0.8787 0.8369 0.8351
70 0.9689 0.8560 0.8395 0.8371
71 0.9759 0.8968 0.8249 0.8217
72 0.9727 0.8735 0.8363 0.8321
73 0.9734 0.8662 0.8420 0.8405
74 0.9759 0.8860 0.8433 0.8406
75 0.9746 0.8874 0.8426 0.8400
76 0.9721 0.8696 0.8560 0.8529
77 0.9765 0.8891 0.8464 0.8443
78 0.9638 0.8597 0.8522 0.8499
79 0.9765 0.8885 0.8566 0.8549
80 0.9772 0.8853 0.8503 0.8489
81 0.9740 0.9062 0.8445 0.8419
82 0.9778 0.9003 0.8299 0.8290
83 0.9708 0.8632 0.8268 0.8237
84 0.9803 0.9082 0.8484 0.8459
85 0.9765 0.8967 0.8547 0.8535
86 0.9740 0.8647 0.8325 0.8302
87 0.9734 0.8713 0.8369 0.8349
88 0.9765 0.8756 0.8325 0.8305
89 0.9727 0.8687 0.8515 0.8484
90 0.9772 0.8993 0.8331 0.8307
91 0.9746 0.8841 0.8274 0.8249
92 0.9721 0.8764 0.8420 0.8400
93 0.9784 0.8927 0.8344 0.8336
94 0.9695 0.8762 0.8477 0.8453
95 0.9734 0.8861 0.8452 0.8433
96 0.9702 0.8885 0.8610 0.8593
97 0.9778 0.8928 0.8541 0.8522
98 0.9753 0.8892 0.8458 0.8434
99 0.9746 0.8842 0.8579 0.8549
