# Epoch  AAaccuracy Af1 UAccuracy Uf1
1 0.6413 0.5067 0.1257 0.1061
2 0.5410 0.3809 0.1149 0.0882
3 0.6521 0.5118 0.1797 0.1596
4 0.8076 0.6600 0.2768 0.2681
5 0.8057 0.6730 0.4794 0.4835
6 0.8921 0.7508 0.5937 0.6031
7 0.9530 0.8288 0.6959 0.6951
8 0.9543 0.8181 0.7524 0.7508
9 0.9517 0.8235 0.7181 0.7166
10 0.9594 0.8442 0.7587 0.7593
11 0.9537 0.8154 0.7867 0.7846
12 0.9454 0.8469 0.8019 0.8012
13 0.9594 0.8412 0.8013 0.7995
14 0.9657 0.8397 0.7981 0.7964
15 0.9575 0.8683 0.7886 0.7894
16 0.9657 0.8706 0.8006 0.8010
17 0.9632 0.8467 0.8165 0.8152
18 0.9638 0.8615 0.8267 0.8244
19 0.9613 0.8568 0.8229 0.8208
20 0.9632 0.8346 0.8425 0.8401
21 0.9638 0.8836 0.8248 0.8231
22 0.9644 0.8436 0.8044 0.8036
23 0.9689 0.8794 0.8248 0.8245
24 0.9683 0.8619 0.8349 0.8340
25 0.9689 0.8721 0.8286 0.8266
26 0.9606 0.8293 0.8203 0.8183
27 0.9644 0.8389 0.8406 0.8397
28 0.9695 0.8725 0.8305 0.8315
29 0.9695 0.8859 0.8324 0.8322
30 0.9638 0.8489 0.8387 0.8355
31 0.9619 0.8466 0.8413 0.8398
32 0.9702 0.8684 0.8495 0.8482
33 0.9676 0.8633 0.8273 0.8269
34 0.9702 0.8672 0.8254 0.8245
35 0.9651 0.8472 0.8178 0.8176
36 0.9695 0.8815 0.8241 0.8232
37 0.9644 0.8577 0.8495 0.8469
38 0.9625 0.8305 0.8508 0.8497
39 0.9619 0.8352 0.8178 0.8166
40 0.9663 0.8687 0.8463 0.8433
41 0.9663 0.8456 0.8559 0.8546
42 0.9695 0.8693 0.8444 0.8448
43 0.9714 0.8955 0.8444 0.8427
44 0.9644 0.8583 0.8375 0.8352
45 0.9708 0.8706 0.8387 0.8369
46 0.9689 0.8643 0.8641 0.8615
47 0.9683 0.8513 0.8711 0.8703
48 0.9663 0.8644 0.8470 0.8465
49 0.9676 0.8436 0.8476 0.8474
50 0.9638 0.8321 0.8533 0.8522
51 0.9657 0.8482 0.8552 0.8547
52 0.9695 0.8697 0.8521 0.8510
53 0.9670 0.8626 0.8368 0.8342
54 0.9676 0.8587 0.8476 0.8456
55 0.9683 0.8617 0.8622 0.8603
56 0.9511 0.8274 0.8578 0.8551
57 0.9644 0.8273 0.8444 0.8430
58 0.9689 0.8544 0.8349 0.8338
59 0.9537 0.8451 0.8432 0.8428
60 0.9644 0.8310 0.8565 0.8540
61 0.9644 0.8559 0.8546 0.8529
62 0.9702 0.8744 0.8641 0.8634
63 0.9695 0.8697 0.8546 0.8536
64 0.9721 0.8737 0.8584 0.8560
65 0.9702 0.8655 0.8730 0.8709
66 0.9632 0.8306 0.8514 0.8493
67 0.9695 0.8666 0.8540 0.8531
68 0.9702 0.8635 0.8565 0.8555
69 0.9708 0.8672 0.8622 0.8605
70 0.9740 0.8978 0.8616 0.8605
71 0.9695 0.8572 0.8622 0.8614
72 0.9727 0.8728 0.8610 0.8594
73 0.9676 0.8747 0.8432 0.8428
74 0.9613 0.8401 0.8356 0.8368
75 0.9708 0.8734 0.8463 0.8455
76 0.9689 0.8472 0.8597 0.8579
77 0.9670 0.8526 0.8476 0.8456
78 0.9663 0.8355 0.8476 0.8467
79 0.9702 0.8666 0.8603 0.8589
80 0.9708 0.8778 0.8521 0.8508
81 0.9727 0.8911 0.8559 0.8552
82 0.9657 0.8544 0.8527 0.8527
83 0.9702 0.8739 0.8489 0.8481
84 0.9683 0.8452 0.8559 0.8555
85 0.9721 0.8702 0.8571 0.8567
86 0.9676 0.8460 0.8470 0.8468
87 0.9714 0.8659 0.8508 0.8498
88 0.9746 0.8815 0.8419 0.8405
89 0.9702 0.8653 0.8514 0.8507
90 0.9676 0.8715 0.8508 0.8498
91 0.9676 0.8416 0.8648 0.8624
92 0.9689 0.8627 0.8565 0.8556
93 0.9676 0.8507 0.8533 0.8558
94 0.9676 0.8387 0.8571 0.8564
95 0.9663 0.8359 0.8565 0.8552
96 0.9708 0.8545 0.8394 0.8371
97 0.9676 0.8406 0.8387 0.8378
98 0.9683 0.8474 0.8533 0.8516
99 0.9714 0.8602 0.8578 0.8560
