# Epoch  AAaccuracy Af1 UAccuracy Uf1
1 0.3740 0.2402 0.1149 0.0884
2 0.3746 0.3064 0.1244 0.0989
3 0.6438 0.5053 0.1467 0.1263
4 0.8146 0.6264 0.2590 0.2490
5 0.8743 0.7632 0.4057 0.4076
6 0.9524 0.8180 0.6527 0.6542
7 0.9479 0.8475 0.7238 0.7203
8 0.9632 0.8897 0.7003 0.6979
9 0.9619 0.8597 0.7689 0.7681
10 0.9435 0.8704 0.7765 0.7754
11 0.9600 0.8571 0.7822 0.7789
12 0.9632 0.8500 0.8013 0.7987
13 0.9644 0.8629 0.7797 0.7775
14 0.9632 0.8278 0.7854 0.7859
15 0.9562 0.8506 0.7778 0.7748
16 0.9683 0.9072 0.8063 0.8046
17 0.9670 0.9086 0.8076 0.8062
18 0.9644 0.8323 0.8121 0.8089
19 0.9638 0.8802 0.7543 0.7555
20 0.9708 0.8811 0.8038 0.8028
21 0.9568 0.8736 0.8171 0.8164
22 0.9702 0.8542 0.8229 0.8236
23 0.9683 0.8633 0.8362 0.8336
24 0.9683 0.8731 0.8051 0.8026
25 0.9651 0.8674 0.8381 0.8366
26 0.9651 0.8553 0.8152 0.8157
27 0.9727 0.8804 0.8489 0.8455
28 0.9708 0.8883 0.8286 0.8272
29 0.9702 0.8821 0.8387 0.8365
30 0.9714 0.8848 0.8489 0.8486
31 0.9714 0.8897 0.8229 0.8206
32 0.9765 0.9163 0.8521 0.8509
33 0.9727 0.8808 0.8514 0.8497
34 0.9746 0.8785 0.8343 0.8319
35 0.9714 0.8884 0.8222 0.8218
36 0.9714 0.8708 0.8330 0.8318
37 0.9752 0.8869 0.8476 0.8475
38 0.9727 0.8831 0.8406 0.8390
39 0.9746 0.8922 0.8514 0.8487
40 0.9714 0.8693 0.8387 0.8374
41 0.9695 0.8728 0.8241 0.8224
42 0.9683 0.8938 0.8229 0.8208
43 0.9746 0.8914 0.8540 0.8527
44 0.9727 0.8793 0.8502 0.8500
45 0.9708 0.8745 0.8311 0.8289
46 0.9683 0.8544 0.8330 0.8319
47 0.9759 0.8824 0.8368 0.8356
48 0.9714 0.8743 0.8546 0.8518
49 0.9714 0.8699 0.8571 0.8567
50 0.9689 0.8553 0.8622 0.8606
51 0.9740 0.8863 0.8419 0.8412
52 0.9695 0.8728 0.8679 0.8667
53 0.9740 0.8920 0.8483 0.8467
54 0.9759 0.8821 0.8375 0.8356
55 0.9689 0.8878 0.8381 0.8367
56 0.9721 0.8751 0.8457 0.8470
57 0.9721 0.8806 0.8610 0.8598
58 0.9740 0.8852 0.8610 0.8596
59 0.9727 0.8843 0.8489 0.8488
60 0.9759 0.8886 0.8457 0.8467
61 0.9721 0.8934 0.8438 0.8414
62 0.9644 0.8720 0.8305 0.8300
63 0.9727 0.8891 0.8387 0.8383
64 0.9765 0.8988 0.8540 0.8511
65 0.9759 0.8926 0.8641 0.8627
66 0.9714 0.8737 0.8349 0.8329
67 0.9746 0.8984 0.8463 0.8453
68 0.9708 0.8816 0.8571 0.8557
69 0.9733 0.8708 0.8432 0.8435
70 0.9733 0.8899 0.8349 0.8353
71 0.9765 0.8948 0.8590 0.8592
72 0.9721 0.8878 0.8438 0.8420
73 0.9752 0.8919 0.8533 0.8528
74 0.9746 0.8920 0.8552 0.8553
75 0.9708 0.8803 0.8502 0.8482
76 0.9752 0.8782 0.8508 0.8485
77 0.9683 0.8479 0.8292 0.8276
78 0.9746 0.8951 0.8616 0.8607
79 0.9721 0.8681 0.8337 0.8331
80 0.9740 0.8888 0.8451 0.8435
81 0.9683 0.8719 0.8584 0.8575
82 0.9771 0.8975 0.8489 0.8493
83 0.9714 0.8716 0.8038 0.8038
84 0.9733 0.8898 0.8457 0.8452
85 0.9727 0.8850 0.7949 0.7941
86 0.9632 0.8687 0.8444 0.8434
87 0.9752 0.8982 0.8559 0.8541
88 0.9708 0.8768 0.8470 0.8458
89 0.9765 0.8944 0.8616 0.8606
90 0.9689 0.8778 0.8552 0.8541
91 0.9765 0.8906 0.8610 0.8595
92 0.9746 0.8702 0.8527 0.8511
93 0.9683 0.8938 0.8279 0.8265
94 0.9162 0.8498 0.8032 0.8018
95 0.9752 0.8887 0.8337 0.8325
96 0.9714 0.8746 0.8235 0.8228
97 0.9733 0.8847 0.8470 0.8452
98 0.9765 0.9018 0.8571 0.8548
99 0.9727 0.8816 0.8578 0.8563
