# Epoch  AAaccuracy Af1 UAccuracy Uf1
1 0.5952 0.5440 0.1466 0.1067
2 0.6447 0.5814 0.1320 0.1081
3 0.7589 0.6765 0.2113 0.1912
4 0.8338 0.7279 0.3014 0.3016
5 0.8826 0.8328 0.4994 0.5050
6 0.9181 0.8270 0.5749 0.5843
7 0.9327 0.8434 0.6872 0.6870
8 0.9442 0.8697 0.7049 0.7048
9 0.9473 0.8716 0.7253 0.7247
10 0.9492 0.8676 0.7570 0.7566
11 0.9416 0.8298 0.7659 0.7680
12 0.9480 0.8618 0.7697 0.7674
13 0.9036 0.8245 0.7475 0.7474
14 0.9511 0.8333 0.7792 0.7781
15 0.9327 0.8254 0.7989 0.7995
16 0.9473 0.8507 0.8084 0.8091
17 0.9499 0.8709 0.8122 0.8107
18 0.9530 0.8675 0.7989 0.7985
19 0.9613 0.8866 0.7881 0.7877
20 0.9480 0.8477 0.8331 0.8321
21 0.9575 0.8731 0.8179 0.8177
22 0.9556 0.8790 0.8401 0.8399
23 0.9511 0.8673 0.8154 0.8146
24 0.9511 0.8921 0.8293 0.8307
25 0.9619 0.8607 0.8020 0.8013
26 0.9588 0.8750 0.8185 0.8176
27 0.9651 0.8834 0.8115 0.8117
28 0.9581 0.8766 0.8261 0.8247
29 0.9607 0.8876 0.8014 0.8024
30 0.9613 0.8806 0.8319 0.8303
31 0.9664 0.8888 0.8084 0.8113
32 0.9556 0.8625 0.8154 0.8132
33 0.9683 0.8874 0.8065 0.8075
34 0.9581 0.8744 0.8350 0.8329
35 0.9695 0.9107 0.8325 0.8313
36 0.9683 0.8848 0.8369 0.8362
37 0.9657 0.8815 0.8414 0.8410
38 0.9562 0.8535 0.8331 0.8322
39 0.9607 0.8465 0.8388 0.8370
40 0.9695 0.9039 0.8274 0.8260
41 0.9562 0.8361 0.8407 0.8374
42 0.9683 0.8799 0.8464 0.8455
43 0.9626 0.8676 0.8249 0.8236
44 0.9632 0.8704 0.8388 0.8377
45 0.9619 0.8775 0.8433 0.8410
46 0.9607 0.8472 0.8477 0.8491
47 0.9676 0.8886 0.8166 0.8144
48 0.9607 0.8724 0.8287 0.8274
49 0.9562 0.8454 0.8452 0.8437
50 0.9645 0.8809 0.8464 0.8448
51 0.9632 0.8586 0.8414 0.8405
52 0.9651 0.8679 0.8369 0.8364
53 0.9645 0.8708 0.8230 0.8227
54 0.9575 0.8606 0.8344 0.8318
55 0.9613 0.8552 0.8515 0.8488
56 0.9670 0.8843 0.8445 0.8440
57 0.9562 0.8428 0.8382 0.8377
58 0.9638 0.8526 0.8426 0.8409
59 0.9607 0.8554 0.8464 0.8442
60 0.9416 0.8186 0.8445 0.8427
61 0.9613 0.8634 0.8401 0.8377
62 0.9645 0.8648 0.8230 0.8204
63 0.9670 0.8702 0.8382 0.8369
64 0.9651 0.8773 0.8331 0.8307
65 0.9657 0.8724 0.8458 0.8431
66 0.9638 0.8725 0.8433 0.8428
67 0.9600 0.8663 0.8344 0.8335
68 0.9537 0.8596 0.8338 0.8327
69 0.9613 0.8523 0.8528 0.8510
70 0.9657 0.8729 0.8560 0.8555
71 0.9645 0.8849 0.8490 0.8482
72 0.9689 0.8890 0.8445 0.8417
73 0.9607 0.8733 0.8312 0.8291
74 0.9657 0.8794 0.8484 0.8462
75 0.9670 0.8929 0.8407 0.8399
76 0.9657 0.8904 0.8484 0.8469
77 0.9651 0.8865 0.8464 0.8442
78 0.9708 0.9046 0.8249 0.8239
79 0.9607 0.8495 0.8331 0.8349
80 0.9695 0.8903 0.8553 0.8535
81 0.9613 0.8559 0.8471 0.8458
82 0.9676 0.8864 0.8433 0.8419
83 0.9638 0.8710 0.8325 0.8314
84 0.9632 0.8745 0.8401 0.8383
85 0.9588 0.8526 0.8503 0.8493
86 0.9632 0.8692 0.8306 0.8289
87 0.9518 0.8463 0.8217 0.8184
88 0.9607 0.8631 0.8211 0.8184
89 0.9638 0.8681 0.8414 0.8402
90 0.9607 0.8615 0.8407 0.8407
91 0.9588 0.8669 0.8350 0.8348
92 0.9657 0.8736 0.8496 0.8496
93 0.9657 0.8690 0.8522 0.8502
94 0.9600 0.8723 0.8395 0.8391
95 0.9664 0.8822 0.8395 0.8387
96 0.9657 0.8677 0.8376 0.8361
97 0.9638 0.8607 0.8477 0.8464
98 0.9670 0.8695 0.8509 0.8501
99 0.9619 0.8554 0.8274 0.8259
