# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.1279 0.0815 0.0465 0.0134
100 0.1302 0.0935 0.0907 0.0331
200 0.2163 0.2027 0.0767 0.0390
300 0.2919 0.2627 0.0907 0.0416
400 0.3174 0.2869 0.1907 0.1388
500 0.5314 0.4857 0.2395 0.2127
600 0.5977 0.5285 0.3628 0.3534
700 0.8721 0.8504 0.6988 0.7186
800 0.7953 0.7347 0.5791 0.5787
900 0.9244 0.9136 0.7919 0.8069
1000 0.9221 0.9086 0.7919 0.8103
1100 0.9151 0.9033 0.8093 0.8208
1200 0.9093 0.8940 0.7837 0.7996
1300 0.9093 0.8948 0.8151 0.8309
1400 0.9244 0.9138 0.8093 0.8239
1500 0.9244 0.9151 0.8209 0.8338
1600 0.9372 0.9260 0.7977 0.8127
1700 0.9291 0.9173 0.8267 0.8347
1800 0.9314 0.9204 0.8314 0.8392
1900 0.9267 0.9146 0.8256 0.8352
2000 0.9244 0.9097 0.8291 0.8431
2100 0.9105 0.8994 0.8256 0.8371
2200 0.9314 0.9197 0.8070 0.8198
2300 0.9291 0.9180 0.8384 0.8502
2400 0.9233 0.9116 0.8186 0.8355
2500 0.9244 0.9118 0.8163 0.8305
2600 0.9256 0.9138 0.8267 0.8414
2700 0.9140 0.9020 0.8337 0.8434
2800 0.9198 0.9069 0.8395 0.8467
2900 0.9233 0.9111 0.8174 0.8289
3000 0.9302 0.9207 0.8372 0.8499
3100 0.9256 0.9140 0.8186 0.8297
3200 0.9221 0.9099 0.8430 0.8508
3300 0.9279 0.9137 0.8419 0.8515
3400 0.9291 0.9161 0.8442 0.8536
3500 0.9360 0.9244 0.8256 0.8365
3600 0.9174 0.9018 0.8174 0.8356
3700 0.9337 0.9215 0.8291 0.8398
3800 0.9291 0.9170 0.8384 0.8477
3900 0.9302 0.9186 0.8244 0.8402
4000 0.9233 0.9109 0.8221 0.8315
4100 0.9186 0.9046 0.8291 0.8417
4200 0.9360 0.9249 0.8360 0.8487
4300 0.9256 0.9127 0.8372 0.8478
4400 0.9256 0.9150 0.8233 0.8320
4500 0.9291 0.9219 0.8419 0.8545
4600 0.9314 0.9172 0.8302 0.8419
4700 0.9407 0.9314 0.8326 0.8435
4800 0.9302 0.9192 0.8395 0.8534
4900 0.9244 0.9122 0.8442 0.8552
5000 0.9302 0.9175 0.8186 0.8307
5100 0.9279 0.9155 0.8244 0.8393
5200 0.9337 0.9230 0.8419 0.8557
5300 0.9302 0.9169 0.8326 0.8436
5400 0.9314 0.9204 0.8186 0.8321
5500 0.9360 0.9248 0.8360 0.8448
5600 0.9244 0.9112 0.8337 0.8447
5700 0.9279 0.9165 0.8151 0.8305
5800 0.9372 0.9278 0.8360 0.8484
5900 0.9314 0.9203 0.8465 0.8556
6000 0.9081 0.8931 0.8291 0.8405
6100 0.9244 0.9107 0.8279 0.8420
6200 0.9279 0.9168 0.8291 0.8418
6300 0.9233 0.9113 0.8372 0.8482
6400 0.9326 0.9203 0.8372 0.8481
6500 0.9302 0.9181 0.8547 0.8642
6600 0.9279 0.9145 0.8337 0.8452
6700 0.9326 0.9208 0.8279 0.8406
6800 0.9384 0.9278 0.8221 0.8329
6900 0.9291 0.9173 0.8453 0.8559
7000 0.9372 0.9276 0.8349 0.8485
7100 0.9279 0.9158 0.8372 0.8458
7200 0.9442 0.9343 0.8349 0.8440
7300 0.9442 0.9342 0.8372 0.8501
7400 0.9384 0.9282 0.8209 0.8294
7500 0.9384 0.9286 0.8407 0.8527
7600 0.9221 0.9106 0.8221 0.8364
7700 0.9267 0.9138 0.8360 0.8489
7800 0.9163 0.9013 0.8209 0.8321
7900 0.9233 0.9103 0.8430 0.8525
8000 0.9349 0.9247 0.8256 0.8336
8100 0.9302 0.9196 0.8442 0.8526
8200 0.9314 0.9207 0.8360 0.8466
8300 0.9302 0.9192 0.8442 0.8550
8400 0.9267 0.9150 0.8500 0.8575
8500 0.9302 0.9177 0.8419 0.8504
8600 0.9337 0.9225 0.8302 0.8423
8700 0.9360 0.9259 0.8372 0.8503
8800 0.9326 0.9220 0.8302 0.8450
8900 0.9279 0.9161 0.8360 0.8476
9000 0.9291 0.9178 0.8395 0.8470
9100 0.9047 0.8855 0.8174 0.8282
9200 0.8802 0.8655 0.8291 0.8390
9300 0.9384 0.9285 0.8384 0.8499
9400 0.9314 0.9219 0.8372 0.8511
9500 0.9326 0.9210 0.8360 0.8478
9600 0.9349 0.9236 0.8244 0.8370
9700 0.9291 0.9171 0.8337 0.8443
9800 0.9360 0.9248 0.8384 0.8488
9900 0.9407 0.9303 0.8523 0.8627
10000 0.9372 0.9276 0.8419 0.8527
10100 0.9291 0.9166 0.8023 0.8184
10200 0.9337 0.9236 0.8395 0.8488
10300 0.9372 0.9262 0.8151 0.8192
10400 0.9244 0.9146 0.8174 0.8325
10500 0.9349 0.9239 0.8198 0.8286
10600 0.9419 0.9324 0.8291 0.8389
10700 0.9360 0.9256 0.8326 0.8435
10800 0.9326 0.9226 0.8500 0.8615
10900 0.9302 0.9188 0.8488 0.8584
11000 0.9407 0.9302 0.8500 0.8618
11100 0.9198 0.9079 0.8337 0.8433
11200 0.9302 0.9182 0.8221 0.8368
11300 0.9372 0.9274 0.8372 0.8449
11400 0.9372 0.9265 0.8384 0.8482
11500 0.9337 0.9240 0.8430 0.8557
11600 0.9372 0.9282 0.8279 0.8362
11700 0.9372 0.9261 0.8314 0.8435
11800 0.9291 0.9169 0.8372 0.8466
11900 0.9314 0.9199 0.8256 0.8399
12000 0.9360 0.9254 0.8279 0.8418
12100 0.9314 0.9197 0.8198 0.8303
12200 0.9302 0.9172 0.8244 0.8356
12300 0.9349 0.9249 0.8291 0.8390
12400 0.9326 0.9222 0.8349 0.8437
12500 0.9337 0.9235 0.8442 0.8536
12600 0.9349 0.9247 0.8395 0.8486
12700 0.9221 0.9083 0.8453 0.8549
12800 0.8849 0.8669 0.8279 0.8348
12900 0.9291 0.9191 0.7628 0.7893
13000 0.9326 0.9198 0.8151 0.8268
13100 0.9279 0.9165 0.8314 0.8425
13200 0.9198 0.9035 0.8395 0.8523
13300 0.9360 0.9262 0.8093 0.8269
13400 0.9326 0.9202 0.8430 0.8542
13500 0.9314 0.9199 0.8500 0.8599
13600 0.9326 0.9225 0.8360 0.8459
13700 0.9326 0.9196 0.8302 0.8457
13800 0.9233 0.9101 0.8151 0.8285
13900 0.9337 0.9216 0.8244 0.8352
14000 0.9326 0.9211 0.8349 0.8456
14100 0.9279 0.9163 0.8395 0.8493
14200 0.9326 0.9207 0.8116 0.8258
14300 0.9186 0.9066 0.8384 0.8492
14400 0.9279 0.9136 0.8337 0.8438
14500 0.9256 0.9120 0.8360 0.8475
14600 0.9233 0.9090 0.8453 0.8530
14700 0.9279 0.9158 0.8523 0.8634
14800 0.9279 0.9160 0.8477 0.8563
14900 0.9314 0.9200 0.8500 0.8587
15000 0.9279 0.9152 0.8442 0.8547
15100 0.9244 0.9121 0.8488 0.8569
15200 0.9244 0.9126 0.8105 0.8251
15300 0.9174 0.9029 0.8477 0.8583
15400 0.9244 0.9129 0.8000 0.8111
15500 0.9360 0.9266 0.8221 0.8322
15600 0.9291 0.9167 0.8465 0.8581
15700 0.9349 0.9241 0.8395 0.8523
15800 0.9267 0.9151 0.8430 0.8534
15900 0.9279 0.9143 0.8477 0.8557
16000 0.9302 0.9175 0.8233 0.8348
16100 0.9326 0.9199 0.8395 0.8499
16200 0.9349 0.9227 0.8419 0.8511
16300 0.9302 0.9186 0.8360 0.8470
16400 0.9291 0.9175 0.8291 0.8423
16500 0.9163 0.9028 0.8151 0.8300
16600 0.9081 0.8954 0.8337 0.8427
16700 0.9337 0.9239 0.8419 0.8532
16800 0.9337 0.9224 0.8500 0.8589
16900 0.9291 0.9192 0.8372 0.8451
17000 0.9314 0.9199 0.8209 0.8306
17100 0.9326 0.9220 0.8302 0.8410
17200 0.9372 0.9274 0.8256 0.8358
17300 0.9267 0.9157 0.8360 0.8480
17400 0.9326 0.9217 0.8326 0.8435
17500 0.9070 0.8889 0.8372 0.8519
17600 0.9302 0.9204 0.8453 0.8550
17700 0.9267 0.9162 0.8186 0.8276
17800 0.9302 0.9199 0.8360 0.8461
17900 0.9360 0.9259 0.7988 0.8150
18000 0.9267 0.9153 0.8256 0.8373
18100 0.9256 0.9134 0.8477 0.8572
18200 0.9244 0.9124 0.8442 0.8542
18300 0.9198 0.9070 0.8430 0.8560
18400 0.9198 0.9067 0.7872 0.7990
18500 0.9116 0.8992 0.8430 0.8524
18600 0.9256 0.9141 0.8442 0.8547
18700 0.9221 0.9090 0.8581 0.8673
18800 0.9291 0.9178 0.8453 0.8546
18900 0.9360 0.9262 0.8547 0.8626
19000 0.9326 0.9220 0.8605 0.8701
19100 0.9337 0.9239 0.8605 0.8675
19200 0.9116 0.8931 0.8279 0.8464
19300 0.9267 0.9132 0.8419 0.8537
19400 0.9419 0.9320 0.8523 0.8611
19500 0.9186 0.9041 0.8337 0.8414
19600 0.9360 0.9249 0.8302 0.8385
19700 0.9314 0.9201 0.8372 0.8489
19800 0.9407 0.9313 0.8477 0.8557
19900 0.9244 0.9122 0.8105 0.8222
20000 0.9221 0.9074 0.8070 0.8173
20100 0.9302 0.9203 0.8419 0.8524
20200 0.9337 0.9223 0.8384 0.8505
20300 0.9337 0.9218 0.8547 0.8664
20400 0.9267 0.9145 0.8512 0.8602
20500 0.9372 0.9266 0.7977 0.8106
20600 0.9256 0.9135 0.8291 0.8367
20700 0.9256 0.9120 0.8279 0.8411
20800 0.9314 0.9202 0.8547 0.8619
20900 0.9326 0.9200 0.8337 0.8427
21000 0.9326 0.9211 0.8302 0.8423
