# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.1789 0.1400 0.0465 0.0099
100 0.1649 0.0871 0.0616 0.0149
200 0.1487 0.0598 0.0616 0.0431
300 0.2485 0.2327 0.0999 0.0595
400 0.4634 0.3724 0.0929 0.0719
500 0.5110 0.4694 0.1127 0.1083
600 0.7154 0.6796 0.3566 0.3504
700 0.7991 0.7558 0.6945 0.7021
800 0.8780 0.8542 0.7526 0.7689
900 0.9024 0.8829 0.7735 0.7851
1000 0.9059 0.8875 0.8432 0.8477
1100 0.8943 0.8727 0.8060 0.8175
1200 0.9129 0.8991 0.8397 0.8397
1300 0.9059 0.8912 0.8351 0.8438
1400 0.9117 0.8945 0.8328 0.8439
1500 0.9164 0.9010 0.8467 0.8526
1600 0.9141 0.8988 0.8200 0.8255
1700 0.9024 0.8823 0.8606 0.8658
1800 0.8897 0.8697 0.8281 0.8360
1900 0.9013 0.8855 0.8351 0.8403
2000 0.9152 0.8983 0.8502 0.8582
2100 0.9082 0.8912 0.8711 0.8792
2200 0.9071 0.8895 0.8432 0.8438
2300 0.9082 0.8888 0.7863 0.8017
2400 0.8711 0.8455 0.8537 0.8622
2500 0.9094 0.8935 0.8537 0.8597
2600 0.9152 0.9050 0.8769 0.8841
2700 0.9094 0.8935 0.8525 0.8592
2800 0.8990 0.8799 0.8664 0.8725
2900 0.9106 0.8907 0.8246 0.8362
3000 0.9071 0.8874 0.8711 0.8759
3100 0.9048 0.8855 0.8409 0.8470
3200 0.9164 0.8997 0.8699 0.8760
3300 0.9164 0.9035 0.8455 0.8528
3400 0.9210 0.9066 0.8630 0.8681
3500 0.9129 0.8973 0.8676 0.8704
3600 0.9129 0.8964 0.8618 0.8697
3700 0.9117 0.8952 0.8351 0.8418
3800 0.8931 0.8691 0.8734 0.8783
3900 0.9048 0.8896 0.8467 0.8529
4000 0.9106 0.8938 0.8618 0.8668
4100 0.9164 0.9000 0.8374 0.8482
4200 0.9117 0.8970 0.8734 0.8801
4300 0.9187 0.9049 0.8444 0.8522
4400 0.9210 0.9075 0.8374 0.8432
4500 0.9175 0.9002 0.8525 0.8586
4600 0.9164 0.8999 0.8734 0.8802
4700 0.9199 0.9035 0.8583 0.8663
4800 0.9117 0.8951 0.8653 0.8711
4900 0.9164 0.8990 0.8571 0.8628
5000 0.9071 0.8907 0.8583 0.8654
5100 0.9210 0.9053 0.8583 0.8655
5200 0.9164 0.8962 0.8606 0.8676
5300 0.9187 0.9027 0.8513 0.8558
5400 0.9164 0.9019 0.8595 0.8646
5500 0.8931 0.8743 0.8676 0.8755
