# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.2416 0.1053 0.0581 0.0230
100 0.1719 0.1247 0.0685 0.0446
200 0.2451 0.1721 0.0453 0.0110
300 0.2114 0.1746 0.1010 0.0686
400 0.6388 0.5726 0.2404 0.2335
500 0.8095 0.7619 0.5900 0.6041
600 0.8316 0.8003 0.6481 0.6562
700 0.8827 0.8587 0.6992 0.7099
800 0.8931 0.8739 0.7596 0.7700
900 0.9141 0.8947 0.7700 0.7794
1000 0.8653 0.8348 0.7538 0.7660
1100 0.9187 0.8974 0.7735 0.7854
1200 0.9071 0.8874 0.8072 0.8193
1300 0.9141 0.8916 0.8060 0.8148
1400 0.9048 0.8819 0.8072 0.8186
1500 0.9164 0.8977 0.8165 0.8259
1600 0.9152 0.8952 0.8386 0.8442
1700 0.9141 0.8944 0.8153 0.8303
1800 0.9187 0.9001 0.8049 0.8159
1900 0.9187 0.9002 0.8165 0.8212
2000 0.9082 0.8866 0.8362 0.8451
2100 0.9164 0.8985 0.8037 0.8136
2200 0.9129 0.8911 0.8165 0.8204
2300 0.9164 0.8962 0.8002 0.8123
2400 0.9175 0.8983 0.8258 0.8333
2500 0.9129 0.8916 0.8409 0.8502
2600 0.9175 0.8960 0.8165 0.8256
2700 0.9082 0.8872 0.8211 0.8312
2800 0.9175 0.8974 0.8467 0.8569
2900 0.9013 0.8785 0.8386 0.8490
3000 0.9268 0.9106 0.8304 0.8432
3100 0.9082 0.8840 0.8374 0.8472
3200 0.9175 0.8991 0.8362 0.8443
3300 0.9175 0.8964 0.8223 0.8316
3400 0.9280 0.9114 0.8513 0.8583
3500 0.9315 0.9145 0.8316 0.8400
3600 0.9257 0.9087 0.8316 0.8420
3700 0.9152 0.8961 0.8084 0.8239
3800 0.9071 0.8850 0.8246 0.8311
3900 0.9315 0.9144 0.8351 0.8475
4000 0.9082 0.8867 0.8455 0.8527
4100 0.9094 0.8873 0.8281 0.8378
4200 0.9152 0.8954 0.8304 0.8366
4300 0.9233 0.9068 0.8444 0.8510
4400 0.9222 0.9028 0.8397 0.8484
4500 0.9222 0.9027 0.8223 0.8330
4600 0.9199 0.9002 0.8409 0.8472
4700 0.9280 0.9117 0.8328 0.8380
4800 0.9048 0.8869 0.8397 0.8463
4900 0.9152 0.8951 0.8513 0.8568
5000 0.9361 0.9202 0.8420 0.8499
5100 0.9315 0.9147 0.8467 0.8521
5200 0.9350 0.9206 0.8444 0.8529
5300 0.9268 0.9110 0.8525 0.8592
5400 0.9268 0.9112 0.8479 0.8561
5500 0.9117 0.8917 0.7956 0.8077
5600 0.9199 0.9007 0.8328 0.8433
5700 0.9199 0.9002 0.8362 0.8451
5800 0.9268 0.9085 0.8362 0.8424
5900 0.9292 0.9121 0.8316 0.8381
6000 0.9338 0.9176 0.8351 0.8440
6100 0.9361 0.9206 0.8386 0.8465
6200 0.9117 0.8908 0.8432 0.8544
6300 0.9210 0.9024 0.8246 0.8330
6400 0.9303 0.9134 0.8455 0.8540
6500 0.9129 0.8922 0.8432 0.8531
6600 0.9117 0.8898 0.8374 0.8443
6700 0.9292 0.9117 0.8362 0.8468
6800 0.9257 0.9068 0.8316 0.8367
6900 0.9257 0.9088 0.8304 0.8367
7000 0.9141 0.8932 0.8409 0.8495
7100 0.9001 0.8773 0.8432 0.8523
7200 0.9233 0.9056 0.8525 0.8611
7300 0.9268 0.9091 0.8362 0.8462
7400 0.9257 0.9072 0.8362 0.8453
7500 0.9175 0.8976 0.8397 0.8507
7600 0.9222 0.9024 0.8444 0.8535
7700 0.9175 0.8981 0.8467 0.8553
7800 0.9210 0.9027 0.8386 0.8486
7900 0.9164 0.8957 0.8293 0.8381
8000 0.9245 0.9059 0.8432 0.8525
8100 0.9268 0.9066 0.8444 0.8541
8200 0.9082 0.8898 0.8351 0.8411
8300 0.9129 0.8922 0.8432 0.8540
8400 0.9280 0.9141 0.8525 0.8609
8500 0.9164 0.8956 0.8455 0.8537
8600 0.9059 0.8830 0.8316 0.8427
8700 0.9280 0.9096 0.8351 0.8429
8800 0.9222 0.9027 0.8548 0.8632
8900 0.9268 0.9089 0.8467 0.8569
9000 0.9292 0.9118 0.8420 0.8467
9100 0.9315 0.9136 0.8246 0.8356
9200 0.9199 0.8996 0.8432 0.8493
9300 0.9222 0.9012 0.8397 0.8475
9400 0.9129 0.8915 0.8328 0.8423
9500 0.9257 0.9091 0.8269 0.8361
9600 0.9257 0.9085 0.8269 0.8376
9700 0.9292 0.9118 0.8281 0.8375
9800 0.9280 0.9118 0.8235 0.8299
9900 0.9152 0.8956 0.8269 0.8377
10000 0.9222 0.9046 0.8455 0.8562
10100 0.9280 0.9095 0.8351 0.8447
10200 0.9187 0.9000 0.8328 0.8424
10300 0.9222 0.9042 0.8455 0.8535
10400 0.9280 0.9090 0.8479 0.8573
10500 0.9199 0.9015 0.8362 0.8473
10600 0.9303 0.9121 0.8269 0.8347
10700 0.9292 0.9119 0.8420 0.8505
10800 0.9280 0.9104 0.8316 0.8401
10900 0.9326 0.9173 0.7979 0.8073
11000 0.9303 0.9125 0.8362 0.8433
11100 0.9013 0.8704 0.8142 0.8262
11200 0.9187 0.8977 0.8269 0.8382
11300 0.9303 0.9145 0.8397 0.8495
11400 0.9350 0.9195 0.8293 0.8374
11500 0.9152 0.8949 0.8316 0.8406
11600 0.9059 0.8850 0.8328 0.8419
11700 0.9222 0.9026 0.8246 0.8343
11800 0.9303 0.9111 0.8409 0.8468
11900 0.9303 0.9128 0.8235 0.8322
12000 0.9303 0.9123 0.8316 0.8418
12100 0.8920 0.8694 0.8316 0.8435
12200 0.9036 0.8849 0.8374 0.8457
12300 0.9141 0.8947 0.8304 0.8408
