# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.1928 0.1330 0.0453 0.0125
100 0.2323 0.1664 0.1812 0.1554
200 0.4448 0.4102 0.2509 0.2203
300 0.7456 0.7135 0.4123 0.4037
400 0.7956 0.7558 0.6365 0.6475
500 0.8688 0.8448 0.7154 0.7246
600 0.8316 0.7981 0.7526 0.7639
700 0.8618 0.8400 0.7445 0.7501
800 0.8897 0.8696 0.8060 0.8133
900 0.8931 0.8746 0.8037 0.8097
1000 0.8897 0.8712 0.7979 0.8115
1100 0.8990 0.8823 0.8188 0.8276
1200 0.8664 0.8438 0.8188 0.8240
1300 0.8966 0.8753 0.8014 0.8158
1400 0.9094 0.8902 0.8072 0.8205
1500 0.9024 0.8862 0.8281 0.8374
1600 0.8908 0.8660 0.8351 0.8428
1700 0.9106 0.8925 0.8328 0.8381
1800 0.9094 0.8912 0.8258 0.8329
1900 0.8815 0.8593 0.8142 0.8260
2000 0.9129 0.8964 0.8397 0.8472
2100 0.9164 0.9006 0.8444 0.8523
2200 0.9082 0.8906 0.8281 0.8335
2300 0.9036 0.8840 0.8095 0.8188
2400 0.8978 0.8763 0.8386 0.8434
2500 0.9082 0.8910 0.8362 0.8424
2600 0.9082 0.8897 0.8269 0.8358
2700 0.8978 0.8777 0.8479 0.8519
2800 0.9141 0.9002 0.8316 0.8397
2900 0.9059 0.8893 0.8339 0.8437
3000 0.9141 0.8971 0.8362 0.8464
3100 0.9129 0.8972 0.8304 0.8392
3200 0.9106 0.8938 0.8339 0.8426
3300 0.8688 0.8494 0.8479 0.8536
3400 0.8943 0.8776 0.8339 0.8423
3500 0.9013 0.8838 0.8281 0.8408
3600 0.9106 0.8936 0.8293 0.8344
3700 0.8990 0.8793 0.8409 0.8488
3800 0.9152 0.8994 0.8420 0.8522
3900 0.9106 0.8924 0.8246 0.8328
4000 0.9013 0.8830 0.8455 0.8530
4100 0.9141 0.8957 0.8432 0.8522
4200 0.9048 0.8882 0.8513 0.8576
4300 0.9164 0.9002 0.8490 0.8583
4400 0.8955 0.8774 0.8420 0.8496
4500 0.9175 0.9041 0.8513 0.8593
4600 0.9117 0.8950 0.8397 0.8499
4700 0.8978 0.8834 0.8281 0.8368
4800 0.9164 0.8997 0.8525 0.8610
4900 0.8955 0.8755 0.8479 0.8586
5000 0.9175 0.9014 0.8328 0.8435
5100 0.9152 0.9003 0.8479 0.8541
5200 0.9199 0.9035 0.8641 0.8725
5300 0.9106 0.8925 0.8641 0.8705
5400 0.9059 0.8879 0.8362 0.8452
5500 0.9164 0.9004 0.8444 0.8522
5600 0.9094 0.8917 0.8525 0.8580
5700 0.8920 0.8664 0.8269 0.8359
5800 0.9141 0.8996 0.8339 0.8397
5900 0.9152 0.8982 0.8432 0.8508
6000 0.9048 0.8867 0.8246 0.8369
6100 0.9187 0.9025 0.8479 0.8554
6200 0.9082 0.8901 0.8618 0.8665
6300 0.9210 0.9046 0.8630 0.8697
6400 0.9036 0.8858 0.8490 0.8563
6500 0.9094 0.8939 0.8269 0.8363
6600 0.8734 0.8546 0.8467 0.8533
6700 0.8978 0.8814 0.8432 0.8529
6800 0.9059 0.8915 0.8455 0.8547
6900 0.9059 0.8867 0.8328 0.8377
7000 0.9152 0.8975 0.8502 0.8569
7100 0.9152 0.8984 0.8316 0.8367
7200 0.9106 0.8952 0.8664 0.8721
7300 0.9024 0.8865 0.8653 0.8728
7400 0.9024 0.8837 0.8409 0.8480
7500 0.9175 0.9038 0.8374 0.8480
7600 0.9268 0.9138 0.8386 0.8448
7700 0.9141 0.8962 0.8525 0.8577
7800 0.9129 0.8940 0.8606 0.8668
7900 0.9129 0.8973 0.8606 0.8657
8000 0.9117 0.8952 0.8548 0.8600
8100 0.9059 0.8886 0.8432 0.8484
8200 0.9175 0.9033 0.8328 0.8425
8300 0.9071 0.8910 0.8362 0.8455
8400 0.8920 0.8754 0.8455 0.8487
8500 0.9071 0.8914 0.8397 0.8477
8600 0.8885 0.8672 0.8455 0.8519
8700 0.9013 0.8856 0.8269 0.8326
8800 0.9117 0.8943 0.8409 0.8494
8900 0.9152 0.8998 0.8165 0.8258
9000 0.9106 0.8928 0.8409 0.8451
9100 0.9164 0.9008 0.8490 0.8561
9200 0.9094 0.8938 0.8211 0.8322
9300 0.9082 0.8895 0.8374 0.8448
9400 0.9048 0.8863 0.8467 0.8538
9500 0.9141 0.8990 0.8107 0.8181
9600 0.9082 0.8914 0.8362 0.8439
9700 0.9152 0.9003 0.8409 0.8480
9800 0.9024 0.8856 0.8560 0.8616
9900 0.9071 0.8892 0.8455 0.8533
